home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,goals,penalties_missed,penalties,red_cards,game_referees,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor
USSR,Netherlands,URS,NED,0.0,2.0,,,0.0,2.0,Netherlands,WIN_REGULAR,1988,1988-06-25,1988-06-25T13:30:00Z,2.0,,1,,,,,,FINISHED,SINGLE,FINAL,FINAL,62770.0,52848,GER,60252.0,48.173125,11.5466,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 32, 'second': 1}, 'international_name': 'Ruud Gullit', 'club_shirt_name': 'Gullit', 'country_code': 'NED', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 54, 'second': 2}, 'international_name': 'Marco van Basten', 'club_shirt_name': 'Van Basten', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Munich,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion
USSR,Italy,URS,ITA,2.0,0.0,,,2.0,0.0,USSR,WIN_REGULAR,1988,1988-06-22,1988-06-22T18:15:00Z,2.0,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,61606.0,53101,GER,54697.0,48.7922694,9.2320083,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 58, 'second': 1}, 'international_name': 'Gennadiy Lytovchenko', 'club_shirt_name': 'Litovchenko', 'country_code': 'UKR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 62, 'second': 2}, 'international_name': 'Oleh Protasov', 'club_shirt_name': 'Protasov', 'country_code': 'UKR', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Stuttgart,Arena Stuttgart,Mercedes-Benz-Arena,Arena Stuttgart,Stuttgart Arena,Mercedes-Benz Arena
West Germany,Netherlands,FRG,NED,1.0,2.0,,,1.0,2.0,Netherlands,WIN_REGULAR,1988,1988-06-21,1988-06-21T18:15:00Z,2.0,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,56115.0,85689,GER,0.0,53.5871778,9.8985944,0.0,0.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 55, 'second': 1}, 'international_name': 'Lothar Matthäus', 'club_shirt_name': 'Matthäus', 'country_code': 'GER', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 74, 'second': 2}, 'international_name': 'Ronald Koeman', 'club_shirt_name': '', 'country_code': 'NED', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 88, 'second': 3}, 'international_name': 'Marco van Basten', 'club_shirt_name': 'Van Basten', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Hamburg,Volksparkstadion,Volksparkstadion,Volksparkstadion,Volksparkstadion,Volksparkstadion
Republic of Ireland,Netherlands,IRL,NED,0.0,1.0,,,0.0,1.0,Netherlands,WIN_REGULAR,1988,1988-06-18,1988-06-18T13:30:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,64731.0,53099,GER,49785.0,51.5591972,7.0666278,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 82, 'second': 1}, 'international_name': 'Wim Kieft', 'club_shirt_name': 'Kieft', 'country_code': 'NED', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Gelsenkirchen,Parkstadion,Parkstadion,Parkstadion,Parkstadion,Parkstadion
England,USSR,ENG,URS,1.0,3.0,,,1.0,3.0,USSR,WIN_REGULAR,1988,1988-06-18,1988-06-18T13:30:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,48335.0,53102,GER,30059.0,50.0685722,8.645425,68.0,105.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 3, 'second': 1}, 'international_name': 'Sergei Aleinikov', 'club_shirt_name': 'Aleinikov', 'country_code': 'BLR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 16, 'second': 2}, 'international_name': 'Tony Adams', 'club_shirt_name': '', 'country_code': 'ENG', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 28, 'second': 3}, 'international_name': 'Oleksiy Mykhailychenko', 'club_shirt_name': 'Mikhailichenko', 'country_code': 'URS', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 73, 'second': 4}, 'international_name': 'Viktor Pasulko', 'club_shirt_name': 'Pasulco', 'country_code': 'RUS', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Frankfurt am Main,Waldstadion (old),Waldstadion (old),Waldstadion (old),Waldstadion (old),Waldstadion (old)
West Germany,Spain,FRG,ESP,2.0,0.0,,,2.0,0.0,West Germany,WIN_REGULAR,1988,1988-06-17,1988-06-17T18:15:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,63802.0,52848,GER,60252.0,48.173125,11.5466,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 29, 'second': 1}, 'international_name': 'Rudi Völler', 'club_shirt_name': '', 'country_code': 'GER', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 51, 'second': 2}, 'international_name': 'Rudi Völler', 'club_shirt_name': '', 'country_code': 'GER', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Munich,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion
Italy,Denmark,ITA,DEN,2.0,0.0,,,2.0,0.0,Italy,WIN_REGULAR,1988,1988-06-17,1988-06-17T18:15:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,53951.0,52864,GER,45134.0,50.9335056,6.8749944,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 67, 'second': 1}, 'international_name': 'Alessandro Altobelli', 'club_shirt_name': 'Altobelli', 'country_code': 'ITA', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 87, 'second': 2}, 'international_name': 'Luigi De Agostini', 'club_shirt_name': 'De Agostini', 'country_code': 'ITA', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Cologne,Stadion Köln,RheinEnergieStadion,Stadion Köln,Cologne Stadium,RheinEnergieStadion
Republic of Ireland,USSR,IRL,URS,1.0,1.0,,,1.0,1.0,,DRAW,1988,1988-06-15,1988-06-15T18:15:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,38308.0,52865,GER,45000.0,52.3600667,9.7311833,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 38, 'second': 1}, 'international_name': 'Ronnie Whelan', 'club_shirt_name': 'Whelan', 'country_code': 'IRL', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 74, 'second': 2}, 'international_name': 'Oleh Protasov', 'club_shirt_name': 'Protasov', 'country_code': 'UKR', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Hanover,Stadion Hannover,HDI-Arena,Stadion Hannover,Stadion Hannover,HDI-Arena
England,Netherlands,ENG,NED,1.0,3.0,,,1.0,3.0,Netherlands,WIN_REGULAR,1988,1988-06-15,1988-06-15T15:15:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,63940.0,52867,GER,43500.0,51.0947389,6.8794639,108.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 44, 'second': 1}, 'international_name': 'Marco van Basten', 'club_shirt_name': 'Van Basten', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 53, 'second': 2}, 'international_name': 'Bryan Robson', 'club_shirt_name': 'Robson', 'country_code': '', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 71, 'second': 3}, 'international_name': 'Marco van Basten', 'club_shirt_name': 'Van Basten', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 75, 'second': 4}, 'international_name': 'Marco van Basten', 'club_shirt_name': 'Van Basten', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Dusseldorf,Rheinstadion,Rheinstadion,Rheinstadion,Rheinstadion,"""stadium destroyed"""
Italy,Spain,ITA,ESP,1.0,0.0,,,1.0,0.0,Italy,WIN_REGULAR,1988,1988-06-14,1988-06-14T18:15:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,47506.0,53102,GER,30059.0,50.0685722,8.645425,68.0,105.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 73, 'second': 1}, 'international_name': 'Gianluca Vialli', 'club_shirt_name': 'Vialli', 'country_code': 'ITA', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Frankfurt am Main,Waldstadion (old),Waldstadion (old),Waldstadion (old),Waldstadion (old),Waldstadion (old)
