home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,goals,penalties_missed,penalties,red_cards,game_referees,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor
USSR,Yugoslavia,URS,YUG,1,1,,,2,1,USSR,WIN_ON_EXTRA_TIME,1960,1960-07-10,1960-07-10T20:30:00Z,1,,1,,,,,,FINISHED,SINGLE,FINAL,FINAL,17966,57779,FRA,47926,48.8414333,2.2530333,105,68,"[{'phase': 'FIRST_HALF', 'time': {'minute': 43, 'second': 1}, 'international_name': 'Milan Galić', 'club_shirt_name': 'Galić', 'country_code': 'SRB', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 49, 'second': 2}, 'international_name': 'Slava Metreveli', 'club_shirt_name': 'Metreveli', 'country_code': 'URS', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'EXTRA_TIME_SECOND_HALF', 'time': {'minute': 113, 'second': 3}, 'international_name': 'Viktor Ponedelnik', 'club_shirt_name': 'Ponedelnik', 'country_code': 'URS', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Paris,Parc des Princes,Parc des Princes,Parc des Princes,Parc des Princes,Parc des Princes
Czechoslovakia,France,TCH,FRA,2,0,,,2,0,Czechoslovakia,WIN_REGULAR,1960,1960-07-09,1960-07-09T20:30:00Z,1,,1,,,,,,FINISHED,SINGLE,THIRD_PLAY_OFF,KNOCK_OUT,9438,62337,FRA,66534,43.26983,5.396,105,68,"[{'phase': 'SECOND_HALF', 'time': {'minute': 58, 'second': 1}, 'international_name': 'Vlastimil Bubník', 'club_shirt_name': 'Bubník', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 88, 'second': 2}, 'international_name': 'Ladislav Pavlovič', 'club_shirt_name': 'Pavlovič', 'country_code': 'SVK', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,Orange Vélodrome
Czechoslovakia,USSR,TCH,URS,0,3,,,0,3,USSR,WIN_REGULAR,1960,1960-07-06,1960-07-06T20:30:00Z,1,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,25184,62337,FRA,66534,43.26983,5.396,105,68,"[{'phase': 'FIRST_HALF', 'time': {'minute': 34, 'second': 1}, 'international_name': 'Valentin Ivanov', 'club_shirt_name': 'Ivanov', 'country_code': 'URS', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 56, 'second': 2}, 'international_name': 'Valentin Ivanov', 'club_shirt_name': 'Ivanov', 'country_code': 'URS', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 66, 'second': 3}, 'international_name': 'Viktor Ponedelnik', 'club_shirt_name': 'Ponedelnik', 'country_code': 'URS', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,Orange Vélodrome
France,Yugoslavia,FRA,YUG,4,5,,,4,5,Yugoslavia,WIN_REGULAR,1960,1960-07-06,1960-07-06T19:00:00Z,1,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,26370,57779,FRA,47926,48.8414333,2.2530333,105,68,"[{'phase': 'FIRST_HALF', 'time': {'minute': 11, 'second': 1}, 'international_name': 'Milan Galić', 'club_shirt_name': 'Galić', 'country_code': 'SRB', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 12, 'second': 2}, 'international_name': 'Jean Vincent', 'club_shirt_name': 'Vincent', 'country_code': 'FRA', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 43, 'second': 3}, 'international_name': 'François Heutte', 'club_shirt_name': 'Heutte', 'country_code': 'FRA', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 53, 'second': 4}, 'international_name': 'Maryan Wisnieski', 'club_shirt_name': 'Wisnieski', 'country_code': 'FRA', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 55, 'second': 5}, 'international_name': 'Ante Žanetić', 'club_shirt_name': 'Žanetić', 'country_code': 'SRB', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 62, 'second': 6}, 'international_name': 'François Heutte', 'club_shirt_name': 'Heutte', 'country_code': 'FRA', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 75, 'second': 7}, 'international_name': 'Tomislav Knež', 'club_shirt_name': 'Knež', 'country_code': 'SRB', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 78, 'second': 8}, 'international_name': 'Dražan Jerković', 'club_shirt_name': 'Jerković', 'country_code': 'SRB', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 79, 'second': 9}, 'international_name': 'Dražan Jerković', 'club_shirt_name': 'Jerković', 'country_code': 'SRB', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Paris,Parc des Princes,Parc des Princes,Parc des Princes,Parc des Princes,Parc des Princes
Spain,USSR,ESP,URS,2,1,,,2,1,Spain,WIN_REGULAR,1964,1964-06-21,1964-06-21T17:30:00Z,1,,1,,,,,,FINISHED,SINGLE,FINAL,FINAL,79115,62401,ESP,76806,40.4530778,-3.6885194,105,68,"[{'phase': 'FIRST_HALF', 'time': {'minute': 6, 'second': 1}, 'international_name': 'Jesús María Pereda', 'club_shirt_name': 'Pereda', 'country_code': 'ESP', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 8, 'second': 2}, 'international_name': 'Galimzyan Khusainov', 'club_shirt_name': 'Khusainov', 'country_code': 'URS', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 84, 'second': 3}, 'international_name': 'Marcelino Martínez', 'club_shirt_name': 'Marcelino Martínez', 'country_code': 'ESP', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Madrid,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,N/A
Hungary,Denmark,HUN,DEN,1,1,,,3,1,Hungary,WIN_ON_EXTRA_TIME,1964,1964-06-20,1964-06-20T19:00:00Z,1,,1,,,,,,FINISHED,SINGLE,THIRD_PLAY_OFF,KNOCK_OUT,3869,57776,ESP,94408,41.3808417,2.1227583,105,68,"[{'phase': 'FIRST_HALF', 'time': {'minute': 11, 'second': 1}, 'international_name': 'Ferenc Bene', 'club_shirt_name': 'Bene', 'country_code': 'HUN', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 82, 'second': 2}, 'international_name': 'Carl Bertelsen', 'club_shirt_name': 'Bertelsen', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'EXTRA_TIME_SECOND_HALF', 'time': {'minute': 107, 'second': 3}, 'international_name': 'Dezső Novák', 'club_shirt_name': 'Novák', 'country_code': 'HUN', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'PENALTY'}, {'phase': 'EXTRA_TIME_SECOND_HALF', 'time': {'minute': 110, 'second': 4}, 'international_name': 'Dezső Novák', 'club_shirt_name': 'Novák', 'country_code': 'HUN', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Barcelona,Camp Nou,Camp Nou,Camp Nou,Camp Nou,Spotify Camp Nou
Denmark,USSR,DEN,URS,0,3,,,0,3,USSR,WIN_REGULAR,1964,1964-06-17,1964-06-17T21:30:00Z,1,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,38556,57776,ESP,94408,41.3808417,2.1227583,105,68,"[{'phase': 'FIRST_HALF', 'time': {'minute': 19, 'second': 1}, 'international_name': 'Valeri Voronin', 'club_shirt_name': 'Voronin', 'country_code': 'URS', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 40, 'second': 2}, 'international_name': 'Viktor Ponedelnik', 'club_shirt_name': 'Ponedelnik', 'country_code': 'URS', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 87, 'second': 3}, 'international_name': 'Valentin Ivanov', 'club_shirt_name': 'Ivanov', 'country_code': 'URS', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Barcelona,Camp Nou,Camp Nou,Camp Nou,Camp Nou,Spotify Camp Nou
Spain,Hungary,ESP,HUN,1,1,,,2,1,Spain,WIN_ON_EXTRA_TIME,1964,1964-06-17,1964-06-17T19:00:00Z,1,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,34713,62401,ESP,76806,40.4530778,-3.6885194,105,68,"[{'phase': 'FIRST_HALF', 'time': {'minute': 35, 'second': 1}, 'international_name': 'Jesús María Pereda', 'club_shirt_name': 'Pereda', 'country_code': 'ESP', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 84, 'second': 2}, 'international_name': 'Ferenc Bene', 'club_shirt_name': 'Bene', 'country_code': 'HUN', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'EXTRA_TIME_SECOND_HALF', 'time': {'minute': 112, 'second': 3}, 'international_name': 'Amancio Amaro', 'club_shirt_name': 'Amancio Amaro', 'country_code': 'ESP', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Madrid,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,N/A
Italy,Yugoslavia,ITA,YUG,2,0,,,2,0,Italy,WIN_REGULAR,1968,1968-06-10,1968-06-10T20:15:00Z,1,,1,,,,,,FINISHED,REPLAY,FINAL,FINAL,32886,57775,ITA,69689,41.9339222,12.4546833,105,68,"[{'phase': 'FIRST_HALF', 'time': {'minute': 12, 'second': 1}, 'international_name': 'Luigi Riva', 'club_shirt_name': 'Riva', 'country_code': 'ITA', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 31, 'second': 2}, 'international_name': 'Pietro Anastasi', 'club_shirt_name': 'Anastasi', 'country_code': 'ITA', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Rome,Stadio Olimpico,Stadio Olimpico,Stadio Olimpico,Olimpico in Rome,Stadio Olimpico
Italy,Yugoslavia,ITA,YUG,1,1,,,1,1,,DRAW,1968,1968-06-08,1968-06-08T21:15:00Z,1,,1,,,,,,FINISHED,SINGLE,FINAL,FINAL,68817,57775,ITA,69689,41.9339222,12.4546833,105,68,"[{'phase': 'FIRST_HALF', 'time': {'minute': 39, 'second': 1}, 'international_name': 'Dragan Džajić', 'club_shirt_name': '', 'country_code': 'SRB', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 80, 'second': 2}, 'international_name': 'Angelo Domenghini', 'club_shirt_name': 'Domenghini', 'country_code': 'ITA', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Rome,Stadio Olimpico,Stadio Olimpico,Stadio Olimpico,Olimpico in Rome,Stadio Olimpico
