home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,round_mode_detail,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,goals,penalties_missed,penalties,red_cards,game_referees,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor
Portugal,Republic of Ireland,POR,IRL,,,,,,,,,2024,2024-06-11,2024-06-11T18:45:00Z,1.0,Group A,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,,85535,POR,31040.0,40.6478389,-8.5939,105.0,68.0,,,,,"[{'name': 'Chris Kavanagh', 'role': 'REFEREE', 'name_short': 'Kavanagh', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'James Mainwaring', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Mainwaring', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Simon Bennett', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Bennett', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}]",Aveiro,Estádio Municipal de Aveiro,Estádio Municipal de Aveiro,Estádio Municipal de Aveiro,Estádio Municipal de Aveiro,Estádio Municipal de Aveiro
Northern Ireland,Andorra,NIR,AND,,,,,,,,,2024,2024-06-11,2024-06-11T18:45:00Z,2.0,Group A,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,,80311,ESP,32000.0,38.0509194,-1.2252917,102.0,70.0,,,,,[],Murcia,Estadio Enrique Roca de Murcia,La Condomina,Estadio Nueva Condomina,Estadio Nueva Condomina,Estadio Enrique Roca de Murcia
San Marino,Cyprus,SMR,CYP,,,,,,,,,2024,2024-06-11,2024-06-11T16:00:00Z,2.0,Group A,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,,62265,SMR,4798.0,43.9712528,12.4769694,105.0,68.0,,,,,"[{'name': 'James Muscat', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Muscat', 'gender': 'MALE', 'counrty_code': 'MLT', 'counrty': 'Malta'}, {'name': 'Ishmael Barbara', 'role': 'REFEREE', 'name_short': 'Barbara', 'gender': 'MALE', 'counrty_code': 'MLT', 'counrty': 'Malta'}, {'name': 'Roberto Vella', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Vella', 'gender': 'MALE', 'counrty_code': 'MLT', 'counrty': 'Malta'}, {'name': 'Michele Beltrano', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Beltrano', 'gender': 'MALE', 'counrty_code': 'SMR', 'counrty': 'San Marino'}]",Serravalle,San Marino Stadium,San Marino Stadium,San Marino Stadium,San Marino Stadium,San Marino Stadium
Moldova,Ukraine,MDA,UKR,,,,,,,,,2024,2024-06-11,2024-06-11T16:00:00Z,3.0,Group A,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,,88142,MDA,10104.0,46.9803278,28.8680861,105.0,68.0,,,,,"[{'name': 'Sebastian Gheorghe', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Gheorghe', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'George Florin Neacsu', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Neacsu', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Andrei Chivulete', 'role': 'REFEREE', 'name_short': 'Chivulete', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Ion Orlic', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Orlic', 'gender': 'MALE', 'counrty_code': 'MDA', 'counrty': 'Moldova'}]",Chisinau,Stadionul Zimbru,Stadionul Zimbru,Stadionul Zimbru,Stadionul Zimbru,Stadionul Zimbru
Latvia,Faroe Islands,LVA,FRO,,,,,,,,,2024,2024-06-11,2024-06-11T16:00:00Z,3.0,Group A,MD2BC,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,,63816,LVA,4041.0,56.5029778,20.9951611,105.0,68.0,,,,,[],Liepāja,Daugava Liepāja,Daugava,Daugava Liepāja,Daugava Liepāja,Daugava Liepāja
Lithuania,Estonia,LTU,EST,,,,,,,,,2024,2024-06-11,2024-06-11T16:00:00Z,3.0,Group A,MD2BC,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,,64556,LTU,15174.0,54.8973667,23.9371222,105.0,68.0,,,,,[],Kaunas,Dariaus ir Girėno stadionas,Dariaus ir Girėno stadionas,Darius & Girenas Stadium,Darius & Girenas Stadium,Dariaus ir Girėno stadionas
Malta,Greece,MLT,GRE,,,,,,,,,2024,2024-06-11,2024-06-11T16:00:00Z,2.0,Group A,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,,250001159,AUT,3020.0,47.743934,13.047638,104.0,66.0,,,,,"[{'name': 'Maximilian Weiss', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Weiss', 'gender': 'MALE', 'counrty_code': 'AUT', 'counrty': 'Austria'}, {'name': 'Michael Obritzberger', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Obritzberger', 'gender': 'MALE', 'counrty_code': 'AUT', 'counrty': 'Austria'}, {'name': 'Alan Kijas', 'role': 'REFEREE', 'name_short': 'Kijas', 'gender': 'MALE', 'counrty_code': 'AUT', 'counrty': 'Austria'}, {'name': 'Arnes Talic', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Talic', 'gender': 'MALE', 'counrty_code': 'AUT', 'counrty': 'Austria'}]",Grödig,Das Goldberg Stadion,Untersberg Arena,Stadion Grödig,Stadion Grödig,Das Goldberg Stadion
Belarus,Israel,BLR,ISR,,,,,,,,,2024,2024-06-11,2024-06-11T16:00:00Z,2.0,Group A,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,,63453,HUN,10717.0,47.5748972,19.0846167,105.0,68.0,,,,,"[{'name': 'Balázs Buzás', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Buzás', 'gender': 'MALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Tamás Bognár', 'role': 'REFEREE', 'name_short': 'Bognár', 'gender': 'MALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Péter Kóbor', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Kóbor', 'gender': 'MALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'István Vad', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Vad', 'gender': 'MALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}]",Budapest,Szusza Ferenc Stadion,Ferenc Szusza Stadion,Szusza Ferenc Stadion,Szusza Ferenc Stadion,Szusza Ferenc Stadion
Azerbaijan,Kazakhstan,AZE,KAZ,,,,,,,,,2024,2024-06-11,2024-06-11T14:00:00Z,2.0,Group A,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,,63446,HUN,8940.0,47.2348111,16.6069583,105.0,68.0,,,,,"[{'name': 'Theodoros Georgiou', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Georgiou', 'gender': 'MALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Bence Csonka', 'role': 'REFEREE', 'name_short': 'Csonka', 'gender': 'MALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Balázs Szalai', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Szalai', 'gender': 'MALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Réka Molnar', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Molnar', 'gender': 'FEMALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}]",Szombathely,Haladás Stadium,Rohonci Út,Haladás Stadium,Haladás Stadium,Haladás Stadium
Netherlands,Iceland,NED,ISL,,,,,,,,,2024,2024-06-10,2024-06-10T18:45:00Z,2.0,Group A,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,,52851,NED,48100.0,51.8939056,4.5232,105.0,68.0,,,,,"[{'name': 'Stefanos Koymparakis', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Koymparakis', 'gender': 'MALE', 'counrty_code': 'GRE', 'counrty': 'Greece'}, {'name': 'Evangelos Manouchos', 'role': 'REFEREE', 'name_short': 'Manouchos', 'gender': 'MALE', 'counrty_code': 'GRE', 'counrty': 'Greece'}, {'name': 'Konstantinos Psárris', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Psárris', 'gender': 'MALE', 'counrty_code': 'GRE', 'counrty': 'Greece'}, {'name': 'Angelos Evangelou', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Evangelou', 'gender': 'MALE', 'counrty_code': 'GRE', 'counrty': 'Greece'}, {'name': 'Konstantinos Nikolaidis', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Nikolaidis', 'gender': 'MALE', 'counrty_code': 'GRE', 'counrty': 'Greece'}, {'name': 'Spyridon Zampalas', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE', 'name_short': 'Zampalas', 'gender': 'MALE', 'counrty_code': 'GRE', 'counrty': 'Greece'}]",Rotterdam,Stadion Feijenoord 'De Kuip',Stadion Feijenoord,Stadion Feijenoord 'De Kuip',Stadion Feijenoord,Stadion Feijenoord 'De Kuip'
