Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper
W, Greece,6,4,1,1,7,4,3,13,Angelos Charisteas - 3,Antonios Nikopolidis
,,,,,,,,,,,
F, Portugal,6,3,1,2,8,6,2,10,"Maniche, Cristiano Ronaldo... - 2",Ricardo
,,,,,,,,,,,
SF, Czechia,5,4,0,1,10,5,5,12,Milan Baroš - 5,Petr Čech
SF,Netherlands,5,1,2,2,7,6,1,5,Ruud van Nistelrooy - 4,Edwin van der Sar
,,,,,,,,,,,
QF, England,4,2,1,1,10,6,4,7,Wayne Rooney - 4,David James
QF, France,4,2,1,1,7,5,2,7,Zinédine Zidane - 3,Fabien Barthez
QF, Sweden,4,1,3,0,8,3,5,6,Henrik Larsson - 3,Andreas Isaksson
QF,Denmark,4,1,2,1,4,5,-1,5,Jon Dahl Tomasson - 3,Thomas Sørensen
,,,,,,,,,,,
GR,Italy,3,1,2,0,3,2,1,5,Antonio Cassano - 2,Gianluigi Buffon
GR,Spain,3,1,1,1,2,2,0,4,"Fernando Morientes, Juan Carlos Valerón - 1",Iker Casillas
GR,Russia,3,1,0,2,2,4,-2,3,,Vyacheslav Malafeev
GR,Germany,3,0,2,1,2,3,-1,2,"Michael Ballack, Torsten Frings - 1",Oliver Kahn
GR,Croatia,3,0,2,1,4,6,-2,2,"Igor Tudor, Dado Pršo... - 1",Tomislav Butina
GR,Latvia,3,0,1,2,1,5,-4,1,Māris Verpakovskis - 1,Aleksandrs Koļinko
GR,Switzerland,3,0,1,2,1,6,-5,1,Johan Vonlanthen - 1,Jörg Stiel
GR,Bulgaria,3,0,0,3,1,9,-8,0,Martin Petrov - 1,Zdravko Zdravkov
