Year,Comp,Team,Rating,Fifa_ranking,avg_age,Mkt_val,avg_mkt_val,goalie_mkt_val,goalie_age,def_mean_age,def_mkt_val,def_mean_mkt_val,mid_mean_age,mid_mkt_val,mid_mean_mkt_val,att_mean_age,att_mkt_val,att_mean_mkt_val
2012,Euro,Spain,7.24,1,24.93,786,19.65,35,30,24.07,162.1,11.58,24.5,355.4,25.39,26,173.5,21.69
2012,Euro,Russia,6.93,13,26.73,281.6,5.75,20,27,26.5,66.2,4.14,26.73,104.9,6.99,26.18,63,5.73
2012,Euro,England,6.93,6,25.42,601.5,12.03,43.5,26,24,221.5,12.31,26.21,135,9.64,24.25,201.5,16.79
2012,Euro,Germany,6.86,3,24.92,707.5,18.14,30,27,25.62,177,13.62,24.08,305.5,23.5,25.11,165.5,18.39
2012,Euro,Italy,6.83,12,24.82,187.78,8.71,17,33,25.05,155.08,7.75,25.43,137.7,9.84,22.71,137.95,9.85
2012,Euro,Portugal,6.79,10,26.3,412.4,8.77,20,25,26.71,97.6,5.74,26.19,118.1,7.38,25.5,168,16.8
2012,Euro,Croatia,6.78,8,25.76,223.5,2.5,7.85,28,26.06,54.9,3.43,23.5,107,8.92,26.78,53.75,5.97
2012,Euro,Denmark,6.75,9,25.27,136.8,2.32,6.5,29,24.59,44.15,2.6,26.52,49.4,2.35,23.25,31.6,1.98
2012,Euro,Sweden,6.73,17,26.54,160.2,2.81,3,31,27.35,36.35,1.82,25.38,53.4,4.11,26.19,58.98,3.69
2012,Euro,Poland,6.7,62,25.98,181.3,2.88,15,23,26.35,45.35,2.27,25.53,35.65,1.88,25.06,76.55,4.78
2012,Euro,France,6.68,14,26.1,580.5,12.09,17,28,27,176,10.35,24.71,197.5,11.62,26,163,16.3
2012,Euro,Netherlands,6.58,4,24.9,386.3,7.57,8.5,29,24.38,67.25,4.2,24.38,133.8,8.36,25.62,151.5,11.65
2012,Euro,Greece,6.56,15,26.02,113.9,2.71,1.75,27,25.57,57.75,4.13,26.67,27.45,2.29,27.71,20.55,2.94
2012,Euro,Czech Rebuplic,6.55,27,26.3,124.25,3.11,25,31,26.69,41.2,3.17,25.71,33.1,2.36,25.22,18.95,2.11
2012,Euro,Ukraine,6.55,52,27.25,147.3,3.68,8,29,26.8,38.8,3.88,27.21,34.5,2.46,26.2,55.7,5.57
2012,Euro,Ireland,6.26,18,26.84,108.45,2.46,2,28,26.93,34,2.27,26.21,35.5,2.54,27.1,34,3.4
2014,World Cup,Germany,7.2,2,25.27,749,20.24,45,29,24.36,164.5,14.95,25.27,309,28.09,25.4,187,18.7
2014,World Cup,Netherlands,7.15,15,25.3,352.65,7.5,9,27,23.65,100.4,5.91,25.5,85,7.08,26.38,138.25,10.63
2014,World Cup,France,7.12,17,25.08,484.5,12.42,17.5,27,25.53,171.5,11.43,24.23,162.5,12.5,24.57,99.5,14.21
