Rank,Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Diff.,Pts,exp. Goals,exp. Goals Allowed,exp. Goals Diff.,xGD/90,Top Team Scorer,Goalkeeper,Notes
F,it Italy,7.0,5.0,2.0,0.0,13.0,4.0,9.0,17.0,13.1,6.0,7.2,1.02,"Lorenzo Insigne, Ciro Immobile... - 2",Gianluigi Donnarumma,
F,eng England,7.0,5.0,2.0,0.0,11.0,2.0,9.0,17.0,11.0,5.4,5.7,0.81,Harry Kane - 4,Jordan Pickford,
SF,es Spain,6.0,2.0,4.0,0.0,13.0,6.0,7.0,10.0,16.7,7.4,9.3,1.54,Álvaro Morata - 3,Unai Simón,
SF,dk Denmark,6.0,3.0,0.0,3.0,12.0,7.0,5.0,9.0,9.9,7.1,2.8,0.47,Kasper Dolberg - 3,Kasper Schmeichel,
QF,be Belgium,5.0,4.0,0.0,1.0,9.0,3.0,6.0,12.0,5.9,5.4,0.5,0.11,Romelu Lukaku - 4,Thibaut Courtois,
QF,cz Czechia,5.0,2.0,1.0,2.0,6.0,4.0,2.0,7.0,6.2,6.6,-0.5,-0.09,Patrik Schick - 5,Tomáš Vaclík,
QF,ch Switzerland,5.0,1.0,3.0,1.0,8.0,9.0,-1.0,6.0,7.1,10.6,-3.5,-0.69,"Xherdan Shaqiri, Haris Seferović - 3",Yann Sommer,
QF,ua Ukraine,5.0,2.0,0.0,3.0,6.0,10.0,-4.0,6.0,6.2,7.5,-1.3,-0.26,"Andriy Yarmolenko, Roman Yaremchuk - 2",Heorhiy Bushchan,
R16,nl Netherlands,4.0,3.0,0.0,1.0,8.0,4.0,4.0,9.0,8.6,4.0,4.6,1.16,Georginio Wijnaldum - 3,Maarten Stekelenburg,
R16,se Sweden,4.0,2.0,1.0,1.0,5.0,4.0,1.0,7.0,5.2,6.5,-1.4,-0.35,Emil Forsberg - 4,Robin Olsen,
R16,fr France,4.0,1.0,3.0,0.0,7.0,6.0,1.0,6.0,7.5,5.2,2.3,0.57,Karim Benzema - 4,Hugo Lloris,
R16,at Austria,4.0,2.0,0.0,2.0,5.0,5.0,0.0,6.0,5.1,5.8,-0.8,-0.19,"Marko Arnautović, Stefan Lainer... - 1",Daniel Bachmann,
R16,pt Portugal,4.0,1.0,1.0,2.0,7.0,7.0,0.0,4.0,7.9,4.9,2.9,0.74,Cristiano Ronaldo - 5,Rui Patrício,
R16,hr Croatia,4.0,1.0,1.0,2.0,7.0,8.0,-1.0,4.0,5.5,8.0,-2.4,-0.61,Ivan Perišić - 2,Dominik Livaković,
R16,de Germany,4.0,1.0,1.0,2.0,6.0,7.0,-1.0,4.0,7.1,4.5,2.6,0.65,Kai Havertz - 2,Manuel Neuer,
R16,wls Wales,4.0,1.0,1.0,2.0,3.0,6.0,-3.0,4.0,4.9,8.0,-3.1,-0.77,"Aaron Ramsey, Kieffer Moore... - 1",Danny Ward,
GR,fi Finland,3.0,1.0,0.0,2.0,1.0,3.0,-2.0,3.0,1.5,4.4,-2.9,-0.97,Joel Pohjanpalo - 1,Lukáš Hrádecký,
GR,ru Russia,3.0,1.0,0.0,2.0,2.0,7.0,-5.0,3.0,2.3,4.2,-1.9,-0.63,"Aleksei Miranchuk, Artem Dzyuba - 1",Matvei Safonov,
GR,sk Slovakia,3.0,1.0,0.0,2.0,2.0,7.0,-5.0,3.0,1.0,6.6,-5.6,-1.86,Milan Škriniar - 1,Martin Dúbravka,
GR,hu Hungary,3.0,0.0,2.0,1.0,3.0,6.0,-3.0,2.0,1.5,6.7,-5.3,-1.76,"Ádám Szalai, Attila Fiola... - 1",Péter Gulácsi,
GR,pl Poland,3.0,0.0,1.0,2.0,4.0,6.0,-2.0,1.0,4.6,4.4,0.2,0.07,Robert Lewandowski - 3,Wojciech Szczęsny,
GR,sct Scotland,3.0,0.0,1.0,2.0,1.0,5.0,-4.0,1.0,3.9,3.6,0.3,0.11,Callum McGregor - 1,David Marshall,
GR,mk N. Macedonia,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,3.0,8.5,-5.5,-1.84,"Goran Pandev, Ezgjan Alioski - 1",Stole Dimitrievski,
GR,tr Türkiye,3.0,0.0,0.0,3.0,1.0,8.0,-7.0,0.0,3.0,7.4,-4.4,-1.47,İrfan Kahveci - 1,Uğurcan Çakır,
