name,competition,season,average_rating
Marc-André ter Stegen,LaLiga,23/24,7.20
Marc-André ter Stegen,LaLiga,15/16,6.75
Marc-André ter Stegen,LaLiga,16/17,7.01
Marc-André ter Stegen,LaLiga,17/18,7.03
Marc-André ter Stegen,LaLiga,18/19,6.90
Marc-André ter Stegen,LaLiga,19/20,6.89
Marc-André ter Stegen,LaLiga,20/21,6.86
Marc-André ter Stegen,LaLiga,21/22,6.80
Marc-André ter Stegen,LaLiga,22/23,7.15
Marc-André ter Stegen,"European Championship, Qualification",2021,6.40
Marc-André ter Stegen,World Championship Qual. UEFA,2022,6.30
Marc-André ter Stegen,UEFA Nations League,2022-2024,6.80
Marc-André ter Stegen,UEFA Europa League,22/23,6.75
Marc-André ter Stegen,UEFA Europa League,21/22,6.63
Marc-André ter Stegen,Supercopa de España,2023,7.65
Marc-André ter Stegen,Supercopa de España,2017,6.45
Marc-André ter Stegen,Supercopa de España,2018,6.90
Marc-André ter Stegen,Supercopa de España,2021,7.20
Marc-André ter Stegen,Supercopa de España,2022,6.90
Marc-André ter Stegen,UEFA Champions League,23/24,7.04
Marc-André ter Stegen,UEFA Champions League,15/16,7.07
Marc-André ter Stegen,UEFA Champions League,16/17,6.88
Marc-André ter Stegen,UEFA Champions League,17/18,6.92
Marc-André ter Stegen,UEFA Champions League,18/19,7.00
Marc-André ter Stegen,UEFA Champions League,19/20,6.99
Marc-André ter Stegen,UEFA Champions League,20/21,6.88
Marc-André ter Stegen,UEFA Champions League,21/22,6.73
Marc-André ter Stegen,UEFA Champions League,22/23,6.54
Manuel Neuer,EURO,2024,6.70
Manuel Neuer,EURO,2012,6.84
Manuel Neuer,EURO,2016,6.97
Manuel Neuer,EURO,2021,6.40
Manuel Neuer,UEFA Super Cup,2020,7.50
Manuel Neuer,Club World Championship,2020,7.25
Manuel Neuer,"European Championship, Qualification",2021,7.34
Manuel Neuer,World Championship Qual. UEFA,2022,7.27
Manuel Neuer,UEFA Nations League,2022-2024,7.15
Manuel Neuer,UEFA Nations League,2020,6.28
Manuel Neuer,German Super Cup,2022,6.10
Manuel Neuer,German Super Cup,2018,7.20
Manuel Neuer,German Super Cup,2019,5.90
Manuel Neuer,German Super Cup,2020,6.30
Manuel Neuer,German Super Cup,2021,7.20
Manuel Neuer,World Championship,2022,6.23
Manuel Neuer,World Championship,2010,7.40
Manuel Neuer,World Championship,2014,7.57
Manuel Neuer,World Championship,2018,6.63
Manuel Neuer,UEFA Champions League,23/24,7.02
Manuel Neuer,UEFA Champions League,15/16,7.00
Manuel Neuer,UEFA Champions League,16/17,6.98
Manuel Neuer,UEFA Champions League,17/18,7.00
Manuel Neuer,UEFA Champions League,18/19,7.01
Manuel Neuer,UEFA Champions League,19/20,7.08
Manuel Neuer,UEFA Champions League,20/21,7.44
Manuel Neuer,UEFA Champions League,21/22,6.93
Manuel Neuer,UEFA Champions League,22/23,7.57
Manuel Neuer,DFB Pokal,23/24,6.40
Manuel Neuer,DFB Pokal,18/19,7.07
Manuel Neuer,DFB Pokal,19/20,6.68
Manuel Neuer,DFB Pokal,20/21,6.20
Manuel Neuer,DFB Pokal,21/22,5.50
Manuel Neuer,Bundesliga,23/24,6.94
Manuel Neuer,Bundesliga,15/16,6.94
Manuel Neuer,Bundesliga,16/17,6.85
Manuel Neuer,Bundesliga,17/18,6.93
Manuel Neuer,Bundesliga,18/19,6.59
Manuel Neuer,Bundesliga,19/20,7.00
Manuel Neuer,Bundesliga,20/21,6.87
Manuel Neuer,Bundesliga,21/22,6.93
Manuel Neuer,Bundesliga,22/23,7.11
Oliver Baumann,Bundesliga,23/24,7.38
Oliver Baumann,Bundesliga,15/16,7.12
Oliver Baumann,Bundesliga,16/17,7.04
Oliver Baumann,Bundesliga,17/18,6.78
Oliver Baumann,Bundesliga,18/19,6.85
Oliver Baumann,Bundesliga,19/20,6.99
Oliver Baumann,Bundesliga,20/21,6.85
Oliver Baumann,Bundesliga,21/22,6.85
Oliver Baumann,Bundesliga,22/23,6.83
Oliver Baumann,UEFA Champions League,18/19,6.82
Oliver Baumann,UEFA Europa League,20/21,6.86
Oliver Baumann,UEFA Europa League,17/18,6.42
Oliver Baumann,DFB Pokal,23/24,7.35
Oliver Baumann,DFB Pokal,19/20,7.10
Oliver Baumann,DFB Pokal,20/21,7.35
Oliver Baumann,DFB Pokal,21/22,6.15
Oliver Baumann,DFB Pokal,22/23,7.00
Nico Schlotterbeck,UEFA Champions League,23/24,7.13
Nico Schlotterbeck,UEFA Champions League,22/23,6.93
Nico Schlotterbeck,U21 European Championship,2021,7.18
Nico Schlotterbeck,UEFA Nations League,2022-2024,6.87
Nico Schlotterbeck,World Championship,2022,6.90
Nico Schlotterbeck,DFB Pokal,23/24,7.60
Nico Schlotterbeck,DFB Pokal,19/20,5.80
Nico Schlotterbeck,DFB Pokal,20/21,8.00
Nico Schlotterbeck,DFB Pokal,21/22,7.58
Nico Schlotterbeck,DFB Pokal,22/23,7.13
Nico Schlotterbeck,Bundesliga,23/24,7.32
Nico Schlotterbeck,Bundesliga,18/19,6.97
Nico Schlotterbeck,Bundesliga,19/20,6.79
Nico Schlotterbeck,Bundesliga,20/21,6.91
Nico Schlotterbeck,Bundesliga,21/22,7.35
Nico Schlotterbeck,Bundesliga,22/23,7.27
Jonathan Tah,EURO,2024,7.20
Jonathan Tah,"European Championship, Qualification",2021,6.88
Jonathan Tah,World Championship Qual. UEFA,2022,8.10
Jonathan Tah,UEFA Nations League,2022-2024,6.20
Jonathan Tah,UEFA Nations League,2020,6.60
Jonathan Tah,UEFA Champions League,22/23,6.90
Jonathan Tah,UEFA Champions League,15/16,7.02
Jonathan Tah,UEFA Champions League,16/17,7.04
Jonathan Tah,UEFA Champions League,19/20,6.96
Jonathan Tah,UEFA Europa League,23/24,6.95
Jonathan Tah,UEFA Europa League,15/16,7.05
Jonathan Tah,UEFA Europa League,18/19,7.10
Jonathan Tah,UEFA Europa League,19/20,7.03
Jonathan Tah,UEFA Europa League,20/21,6.81
Jonathan Tah,UEFA Europa League,21/22,7.00
Jonathan Tah,UEFA Europa League,22/23,7.20
Jonathan Tah,DFB Pokal,23/24,7.00
Jonathan Tah,DFB Pokal,17/18,6.66
Jonathan Tah,DFB Pokal,18/19,7.20
Jonathan Tah,DFB Pokal,19/20,6.94
Jonathan Tah,DFB Pokal,20/21,5.90
Jonathan Tah,DFB Pokal,21/22,7.00
Jonathan Tah,Bundesliga,23/24,7.17
Jonathan Tah,Bundesliga,15/16,7.05
Jonathan Tah,Bundesliga,16/17,6.97
Jonathan Tah,Bundesliga,17/18,7.02
Jonathan Tah,Bundesliga,18/19,7.03
Jonathan Tah,Bundesliga,19/20,7.00
Jonathan Tah,Bundesliga,20/21,6.88
Jonathan Tah,Bundesliga,21/22,6.96
Jonathan Tah,Bundesliga,22/23,6.81
Antonio Rüdiger,EURO,2024,7.30
Antonio Rüdiger,EURO,2021,6.48
Antonio Rüdiger,Serie A,16/17,6.92
Antonio Rüdiger,Serie A,15/16,6.96
Antonio Rüdiger,Community Shield,2018,7.20
Antonio Rüdiger,Community Shield,2017,6.00
Antonio Rüdiger,UEFA Europa League,18/19,7.33
Antonio Rüdiger,UEFA Europa League,16/17,6.88
Antonio Rüdiger,"European Championship, Qualification",2021,7.40
Antonio Rüdiger,EFL Cup,21/22,7.87
Antonio Rüdiger,Premier League,21/22,7.11
Antonio Rüdiger,Premier League,17/18,6.99
Antonio Rüdiger,Premier League,18/19,6.97
Antonio Rüdiger,Premier League,19/20,7.00
Antonio Rüdiger,Premier League,20/21,7.26
Antonio Rüdiger,World Championship Qual. UEFA,2022,7.34
Antonio Rüdiger,UEFA Nations League,2022-2024,7.03
Antonio Rüdiger,UEFA Nations League,2020,7.06
Antonio Rüdiger,UEFA Super Cup,2022,6.50
Antonio Rüdiger,UEFA Super Cup,2021,7.60
Antonio Rüdiger,World Championship,2022,6.77
