matchid,hometeamname,awayteamname,event,minute,phase,injuryminute,teamfromid,teamtoid,playerfromid,playertoid,time,matcheventattribute
2024442,Austria,North Macedonia,StartFirstHalf,0,1,0,,,,,2021-06-13T16:00:20.217,NA
2024442,Austria,North Macedonia,Foul,4,1,0,59205,8,250039878,250003976,2021-06-13T16:03:45.897,NA
2024442,Austria,North Macedonia,FreeKick,4,1,0,8,,1909713,,2021-06-13T16:03:56.853,NA
2024442,Austria,North Macedonia,Foul,5,1,0,59205,8,250004363,101177,2021-06-13T16:04:44.217,NA
2024442,Austria,North Macedonia,FreeKick,5,1,0,8,,250065408,,2021-06-13T16:04:54.533,NA
2024442,Austria,North Macedonia,Foul,8,1,0,8,59205,250089289,250064634,2021-06-13T16:08:10.217,NA
2024442,Austria,North Macedonia,FreeKick,8,1,0,59205,,250028268,,2021-06-13T16:08:15.893,NA
2024442,Austria,North Macedonia,GoalAttemptOnTarget,9,1,0,8,,250089289,,2021-06-13T16:09:10.173,NA
2024442,Austria,North Macedonia,GoalAttemptSaved,9,1,0,59205,,250014421,,2021-06-13T16:09:11.173,NA
2024442,Austria,North Macedonia,GoalAttemptBlocked,15,1,0,8,,250116789,,2021-06-13T16:15:16.177,NA
2024442,Austria,North Macedonia,GoalAttemptSaved,15,1,0,59205,,250022910,,2021-06-13T16:15:17.177,NA
2024442,Austria,North Macedonia,Foul,16,1,0,59205,8,250031588,250024349,2021-06-13T16:15:37.777,NA
2024442,Austria,North Macedonia,FreeKick,16,1,0,8,,250020234,,2021-06-13T16:16:00.453,NA
2024442,Austria,North Macedonia,Foul,17,1,0,8,59205,250024349,250064634,2021-06-13T16:16:31.497,NA
2024442,Austria,North Macedonia,FreeKick,17,1,0,59205,,250022910,,2021-06-13T16:17:18.973,NA
2024442,Austria,North Macedonia,Goal,18,1,0,8,,250003976,,2021-06-13T16:17:51.417,NA
2024442,Austria,North Macedonia,Foul,19,1,0,8,59205,250024349,250064634,2021-06-13T16:19:16.977,NA
2024442,Austria,North Macedonia,FreeKick,20,1,0,59205,,250004363,,2021-06-13T16:19:35.897,NA
2024442,Austria,North Macedonia,Foul,21,1,0,59205,8,250039878,1906540,2021-06-13T16:20:59.777,NA
