matchid,hometeamname,awayteamname,ispitch,isbench,isstaff,country,id,officialname,officialsurname,shortname,role,jerseynumber,isgoalkeeper,jerseyname,iscaptain,tacticx,tacticy,numorder,isbooked
2024442,Austria,North Macedonia,true,false,false,Austria,250056875,Daniel,Bachmann,Bachmann,goalkeepers,13,True,Bachmann,False,150,504,1,NA
2024442,Austria,North Macedonia,true,false,false,Austria,101177,Andreas,Ulmer,Ulmer,defenders,2,False,Ulmer,False,562,153,2,NA
2024442,Austria,North Macedonia,true,false,false,Austria,1909713,Aleksandar,Dragovic,Dragovic,defenders,3,False,Dragovic,False,345,737,3,NA
2024442,Austria,North Macedonia,true,false,false,Austria,250020234,Martin,Hinteregger,Hinteregger,defenders,4,False,Hinteregger,False,370,317,4,NA
2024442,Austria,North Macedonia,true,false,false,Austria,1906540,David,Alaba,Alaba,defenders,8,False,Alaba,True,328,455,5,NA
2024442,Austria,North Macedonia,true,false,false,Austria,250024349,Marcel,Sabitzer,Sabitzer,midfielders,9,False,Sabitzer,False,547,289,6,NA
2024442,Austria,North Macedonia,true,false,false,Austria,250089289,Christoph,Baumgartner,Baumgartner,midfielders,19,False,Baumgartner,False,684,402,7,NA
2024442,Austria,North Macedonia,true,false,false,Austria,250003976,Stefan,Lainer,Lainer,defenders,21,False,Lainer,False,501,859,8,NA
2024442,Austria,North Macedonia,true,false,false,Austria,250065408,Xaver,Schlager,X. Schlager,midfielders,23,False,Xaver,False,469,500,9,NA
2024442,Austria,North Macedonia,true,false,false,Austria,250065413,Konrad,Laimer,Laimer,midfielders,24,False,Laimer,False,552,679,10,NA
2024442,Austria,North Macedonia,true,false,false,Austria,250116789,Sasa,Kalajdzic,Kalajdzic,forwards,25,False,Kalajdzic,False,690,554,11,NA
2024442,Austria,North Macedonia,false,true,false,Austria,250055899,Alexander,Schlager,A. Schlager,goalkeepers,1,True,Schlager,False,0,0,12,NA
2024442,Austria,North Macedonia,false,true,false,Austria,250021810,Pavao,Pervan,Pervan,goalkeepers,12,True,Pervan,False,0,0,13,NA
2024442,Austria,North Macedonia,false,true,false,Austria,103354,Stefan,Ilsanker,Ilsanker,midfielders,6,False,Ilsanker,False,0,0,14,NA
