matchid,hometeamname,awayteamname,teamid,teamname,ishometeam,isawayteam,statsid,statsname,value,rank
2024442,Austria,North Macedonia,8,Austria,true,false,1,Goals,3,1
2024442,Austria,North Macedonia,8,Austria,true,false,2,Ball Possession,60,1
2024442,Austria,North Macedonia,8,Austria,true,false,3,Total Attempts,11,1
2024442,Austria,North Macedonia,8,Austria,true,false,4,Attempts on target,7,1
2024442,Austria,North Macedonia,8,Austria,true,false,5,Attempts off target,2,2
2024442,Austria,North Macedonia,8,Austria,true,false,6,Attempts against woodwork,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,11,Attempts Accuracy,64,1
2024442,Austria,North Macedonia,8,Austria,true,false,12,Corners,4,1
2024442,Austria,North Macedonia,8,Austria,true,false,13,Offsides,1,1
2024442,Austria,North Macedonia,8,Austria,true,false,14,Saves,1,2
2024442,Austria,North Macedonia,8,Austria,true,false,17,Tackles won,7,1
2024442,Austria,North Macedonia,8,Austria,true,false,18,Clearances,7,2
2024442,Austria,North Macedonia,8,Austria,true,false,19,Recovered balls,51,1
2024442,Austria,North Macedonia,8,Austria,true,false,20,Fouls committed,13,2
2024442,Austria,North Macedonia,8,Austria,true,false,21,Yellow cards,1,2
2024442,Austria,North Macedonia,8,Austria,true,false,22,Red cards,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,23,Passes completed,484,1
2024442,Austria,North Macedonia,8,Austria,true,false,24,Passes accuracy,81,1
2024442,Austria,North Macedonia,8,Austria,true,false,27,Distance covered (m),110173,1
2024442,Austria,North Macedonia,8,Austria,true,false,28,Distance covered in possession (m),46945,1
2024442,Austria,North Macedonia,8,Austria,true,false,29,Top Speed (Km/h),32.4,1
2024442,Austria,North Macedonia,8,Austria,true,false,32,Own-goals,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,33,Goals scored,3,1
2024442,Austria,North Macedonia,8,Austria,true,false,34,Goals conceded,1,2
2024442,Austria,North Macedonia,8,Austria,true,false,35,Own-goals for,0,1
