name,national_team,club,POSITION,CLUB NUMBER,NATIONAL TEAM NUMBER,COUNTRY OF BIRTH,DATE OF BIRTH,Matches played,Minutes played,Goals,Saves,Clean sheets,Passing accuracy (%),Top speed (km/h),Distance covered (km),Yellow cards,Red cards,Saves from direct free-kicks,Saves from indirect free-kicks,Saves from penalties,Goals conceded,Claims,High claims,Low claims,Punches made,Penalties scored,Balls recovered,Blocks,Own goals conceded,Penalties conceded,Clearances completed,Attempts conceded on target,Passes completed,Short passes completed,Medium passes completed,Long passes completed,Backward passes completed,Passes completed to left,Passes completed to right,Crossing accuracy (%),Crosses completed,Free-kicks taken,Times in possession,Passes into attacking third,Passes into key play area,Passes into penalty area,Right foot,Left foot,Head,Other,Assists,Clear chances,Penalties missed,Penalties awarded,Corners taken,Offsides,Dribbles,Runs into attacking third,Runs into key play area,Runs into penalty area,Fouls committed,Fouls committed in defensive third,Fouls committed in own half,Fouls suffered
MARIO MITAJ,Albania,Lokomotiv Moskva,Defender,,,,06/8/2003 (20),3,270,0,,,91.34%,32.1,30.84,0,0,,,,,,,,,0,19,0,0,0,11/13,0,106/116,25/28,77/83,4/5,18/18,6/6,43/45,0%,0/1,4,171,7,6,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,3
BERAT DJIMSITI,Albania,Atalanta,Defender,,,,19/2/1993 (31),3,270,0,,,93%,30,29.81,0,0,,,,,,,,,0,15,5,0,0,13/17,0,130/140,19/19,104/110,7/11,6/6,50/51,34/34,0%,0/0,5,176,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
KRISTJAN ASLLANI,Albania,Inter,Midfielder,,,,09/3/2002 (22),3,270,0,,,85.67%,29.6,36.15,0,0,,,,,,,,,0,10,0,0,0,1/3,0,151/176,19/22,116/123,16/31,30/30,32/32,59/62,30%,3/10,16,209,15,4,8,0,0,0,0,0,1,0,0,5,1,5,5,4,0,2,0,1,4
ARLIND AJETI,Albania,CFR Cluj,Defender,,,,25/9/1993 (30),3,270,0,,,85.34%,29.4,28.02,0,0,,,,,,,,,0,11,4,0,0,13/15,0,90/103,10/12,73/78,7/13,8/8,34/35,27/27,0%,0/0,7,130,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0
THOMAS STRAKOSHA,Albania,Brentford,Goalkeeper,,,,19/3/1995 (29),3,270,0,9,0,72.67%,24.2,15.73,0,0,0,0,0,5,13,5,8,3,0,0,0,0,0,1/1,13,63/87,3/3,31/32,29/52,0/0,18/20,14/15,0%,0/0,5,99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLBER RAMADANI,Albania,Lecce,Midfielder,,,,12/4/1996 (28),3,265,0,,,94.34%,30.2,37.51,0,0,,,,,,,,,0,15,3,0,0,2/3,0,97/103,26/26,65/71,6/6,16/16,31/31,32/32,0%,0/2,2,136,6,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1,6
NEDIM BAJRAMI,Albania,Sassuolo,Midfielder,,,,28/2/1999 (25),3,248,1,,,78.67%,34.8,29.15,1,0,,,,,,,,,0,4,0,0,0,0/0,0,60/76,12/17,47/54,1/5,26/26,7/9,19/24,0%,0/4,0,102,3,1,0,1,0,0,0,0,0,0,0,1,2,6,8,5,5,2,1,1,0
JASIR ASANI,Albania,Gwangju,Forward,,,,19/5/1995 (29),3,214,0,,,83%,31.4,26.4,0,0,,,,,,,,,0,7,0,0,0,1/2,0,32/38,8/11,24/24,0/3,10/10,9/14,2/2,66.67%,2/3,0,64,3,2,3,0,0,0,0,1,0,0,0,0,1,4,1,7,0,2,2,2,5
ELSEID HYSAJ,Albania,Lazio,Defender,,,,02/2/1994 (30),2,180,0,,,86%,31.8,20.66,1,0,,,,,,,,,0,9,1,0,0,3/3,0,43/49,12/12,25/28,6/9,9/9,16/18,5/5,33.34%,1/3,0,70,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QAZIM LAÇI,Albania,Sparta Praha,Midfielder,,,,19/1/1996 (28),3,165,1,,,77%,31.9,21.82,0,0,,,,,,,,,0,5,1,0,0,5/6,0,36/47,12/17,18/21,6/9,9/10,16/20,7/8,33.34%,1/3,0,72,4,1,2,0,0,1,0,0,0,0,0,0,0,0,5,3,1,1,0,0,0
