matchid,hometeamname,awayteamname,ishometeam,isawayteam,isstaff,country,id,officialname,officialsurname,jerseyname,shortname,goalscored,cleansheet,matchplayed,suspendedifbooked,role
2024442,Austria,North Macedonia,true,false,false,Austria,98843,Julian,Baumgartlinger,Baumgartlinger,Baumgartlinger,0,,Baumgartlinger,false,Midfield
2024442,Austria,North Macedonia,true,false,false,Austria,101177,Andreas,Ulmer,Ulmer,Ulmer,0,,Ulmer,false,Defender
2024442,Austria,North Macedonia,true,false,false,Austria,103354,Stefan,Ilsanker,Ilsanker,Ilsanker,0,,Ilsanker,false,Midfield
2024442,Austria,North Macedonia,true,false,false,Austria,1903428,Marko,Arnautovic,Arnautovic,Arnautovic,0,,Arnautovic,false,Forward
2024442,Austria,North Macedonia,true,false,false,Austria,1906540,David,Alaba,Alaba,Alaba,0,,Alaba,false,Defender
2024442,Austria,North Macedonia,true,false,false,Austria,1909713,Aleksandar,Dragovic,Dragovic,Dragovic,0,,Dragovic,false,Defender
2024442,Austria,North Macedonia,true,false,false,Austria,150182144,Marco,Friedl,Friedl,Friedl,0,,Friedl,false,Defender
2024442,Austria,North Macedonia,true,false,false,Austria,250003976,Stefan,Lainer,Lainer,Lainer,0,,Lainer,false,Defender
2024442,Austria,North Macedonia,true,false,false,Austria,250010552,Christopher,Trimmel,Trimmel,Trimmel,0,,Trimmel,false,Midfield
2024442,Austria,North Macedonia,true,false,false,Austria,250020234,Martin,Hinteregger,Hinteregger,Hinteregger,0,,Hinteregger,false,Defender
2024442,Austria,North Macedonia,true,false,false,Austria,250021810,Pavao,Pervan,Pervan,Pervan,,0,Pervan,false,Goalkeeper
2024442,Austria,North Macedonia,true,false,false,Austria,250023832,Michael,Gregoritsch,Gregoritsch,Gregoritsch,0,,Gregoritsch,false,Forward
2024442,Austria,North Macedonia,true,false,false,Austria,250024349,Marcel,Sabitzer,Sabitzer,Sabitzer,0,,Sabitzer,false,Midfield
2024442,Austria,North Macedonia,true,false,false,Austria,250024351,Louis,Schaub,Schaub,Schaub,0,,Schaub,false,Midfield
2024442,Austria,North Macedonia,true,false,false,Austria,250041706,Florian,Grillitsch,Grillitsch,Grillitsch,0,,Grillitsch,false,Midfield
2024442,Austria,North Macedonia,true,false,false,Austria,250050403,Alessandro,Schöpf,Schöpf,Schöpf,0,,Schöpf,false,Midfield
2024442,Austria,North Macedonia,true,false,false,Austria,250052757,Valentino,Lazaro,Lazaro,Lazaro,0,,Lazaro,false,Midfield
2024442,Austria,North Macedonia,true,false,false,Austria,250055899,Alexander,Schlager,Schlager,A. Schlager,,0,A. Schlager,false,Goalkeeper
2024442,Austria,North Macedonia,true,false,false,Austria,250056875,Daniel,Bachmann,Bachmann,Bachmann,,0,Bachmann,false,Goalkeeper
2024442,Austria,North Macedonia,true,false,false,Austria,250065408,Xaver,Schlager,Xaver,X. Schlager,0,,X. Schlager,false,Midfield
2024442,Austria,North Macedonia,true,false,false,Austria,250065413,Konrad,Laimer,Laimer,Laimer,0,,Laimer,false,Midfield
2024442,Austria,North Macedonia,true,false,false,Austria,250065419,Stefan,Posch,Posch,Posch,0,,Posch,false,Defender
2024442,Austria,North Macedonia,true,false,false,Austria,250073627,Philipp,Lienhart,Lienhart,Lienhart,0,,Lienhart,false,Defender
2024442,Austria,North Macedonia,true,false,false,Austria,250075612,Karim,Onisiwo,Onisiwo,Onisiwo,0,,Onisiwo,false,Midfield
2024442,Austria,North Macedonia,true,false,false,Austria,250089289,Christoph,Baumgartner,Baumgartner,Baumgartner,0,,Baumgartner,false,Midfield
2024442,Austria,North Macedonia,true,false,false,Austria,250116789,Sasa,Kalajdzic,Kalajdzic,Kalajdzic,0,,Kalajdzic,false,Forward
2024442,Austria,North Macedonia,true,false,true,Germany,1291,Thomas,Kristl,,,,,,,ACO
2024442,Austria,North Macedonia,true,false,true,Austria,250026111,Mario,Margreiter,,,,,,,ADMIN
2024442,Austria,North Macedonia,true,false,true,Germany,11745,Franco,Foda,,,,,,,CO
2024442,Austria,North Macedonia,true,false,true,Austria,250065423,Michael,Fiedler,,,,,,,DOC
2024442,Austria,North Macedonia,true,false,true,Austria,250075634,Gerhard,Zallinger,,,,,,,FTNCOA
2024442,Austria,North Macedonia,true,false,true,Austria,57064,Robert,Almer,,,,,,,GKCOA
2024442,Austria,North Macedonia,true,false,true,Austria,250075630,Jovo,Marjanovic,,,,,,,KITMAN
2024442,Austria,North Macedonia,true,false,true,Austria,250075631,Christoph,Ogris,,,,,,,MAS
2024442,Austria,North Macedonia,true,false,true,Austria,57063,Jürgen,Säumel,,,,,,,OTH
2024442,Austria,North Macedonia,true,false,true,Germany,250075632,Mike,Steverding,,,,,,,PH
2024442,Austria,North Macedonia,true,false,true,Austria,250075633,Michael,Vettorazzi,,,,,,,PH
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250116833,Vlatko,Stojanovski,Stojanovski,Stojanovski,0,,Stojanovski,false,Forward
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250091841,Eljif,Elmas,Elmas,Elmas,0,,Elmas,false,Midfield
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250105582,Darko,Churlinov,Churlinov,Churlinov,0,,Churlinov,false,Midfield
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250079552,Risto,Jankov,Jankov,Jankov,,0,Jankov,false,Goalkeeper
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250072833,Milan,Ristovski,Ristovski,M. Ristovski,0,,M. Ristovski,false,Midfield
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250059633,Marjan,Radeski,RADESKI,Radeski,0,,Radeski,false,Forward
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250064634,Enis,Bardi,Bardi,Bardi,0,,Bardi,false,Midfield
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250055992,Egzon,Bejtulai,Bejtullai,Bejtulai,0,,Bejtulai,false,Defender
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250055403,Tihomir,Kostadinov,KOSTADINOV,Kostadinov,0,,Kostadinov,false,Midfield
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250043103,Boban,Nikolov,NIKOLOV,Nikolov,0,,Nikolov,false,Midfield
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250028268,Ezgjan,Alioski,Alioski,Alioski,0,,Alioski,false,Defender
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250031583,Daniel,Avramovski,Avramovski,Avramovski,0,,Avramovski,false,Forward
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250031588,Darko,Velkoski,D. Velkoski,D. Velkoski,0,,D. Velkoski,false,Defender
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250031589,Gjoko,Zajkov,Zajkov,Zajkov,0,,Zajkov,false,Defender
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250039878,Aleksandar,Trajkovski,Trajkovski,Trajkovski,0,,Trajkovski,false,Forward
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250022169,Ferhan,Hasani,Hasani,Hasani,0,,Hasani,false,Midfield
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250022908,Damjan,Siskovski,SHISHKOVSKI,Siskovski,,0,Siskovski,false,Goalkeeper
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250022910,Visar,Musliu,Musliu,Musliu,0,,Musliu,false,Defender
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250014421,Stole,Dimitrievski,Dimitrievski,Dimitrievski,,0,Dimitrievski,false,Goalkeeper
2024442,Austria,North Macedonia,false,true,false,North Macedonia,52148,Goran,Pandev,Pandev,Pandev,0,,Pandev,false,Forward
2024442,Austria,North Macedonia,false,true,false,North Macedonia,73471,Ivan,Trickovski,Trickovski,Trickovski,0,,Trickovski,false,Forward
2024442,Austria,North Macedonia,false,true,false,North Macedonia,96418,Krste,Velkoski,Velkoski,K. Velkoski,0,,K. Velkoski,false,Forward
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250004363,Stefan,Ristovski,Ristovski,Ristovski,0,,Ristovski,false,Defender
2024442,Austria,North Macedonia,false,true,false,North Macedonia,250005231,Arijan,Ademi,Ademi,Ademi,0,,Ademi,false,Midfield
2024442,Austria,North Macedonia,false,true,false,North Macedonia,107972,Kire,Ristevski,Ristevski,Ristevski,0,,Ristevski,false,Defender
2024442,Austria,North Macedonia,false,true,false,North Macedonia,107976,Stefan,Spirovski,Spirovski,Spirovski,0,,Spirovski,false,Midfield
2024442,Austria,North Macedonia,false,true,true,North Macedonia,48629,Milan,Ilievski,,,,,,,ACO
2024442,Austria,North Macedonia,false,true,true,North Macedonia,52144,Bojan,Markovski,,,,,,,ADMIN
2024442,Austria,North Macedonia,false,true,true,North Macedonia,30379,Igor,Angelovski,,,,,,,CO
2024442,Austria,North Macedonia,false,true,true,North Macedonia,52141,Dancho,Masev,,,,,,,DIR
2024442,Austria,North Macedonia,false,true,true,North Macedonia,250073824,Aleksandar,Saveski,,,,,,,DOC
2024442,Austria,North Macedonia,false,true,true,North Macedonia,250112379,Borislav,Kalkovaliev,,,,,,,DOC
2024442,Austria,North Macedonia,false,true,true,North Macedonia,250099948,Ivan,Jovanovski,,,,,,,FTNCOA
2024442,Austria,North Macedonia,false,true,true,North Macedonia,44303,Zoran,Micevski,,,,,,,GKCOA
2024442,Austria,North Macedonia,false,true,true,North Macedonia,250112111,Djengis,Redjepi,,,,,,,OTH
2024442,Austria,North Macedonia,false,true,true,North Macedonia,250072839,Angele,Milevski,,,,,,,PH
2024442,Austria,North Macedonia,false,true,true,North Macedonia,250076920,Bojan,Canevski,,,,,,,PH
2024486,Belgium,Italy,true,false,false,Belgium,71982,Thomas,Vermaelen,Vermaelen,Vermaelen,0,,Vermaelen,true,Defender
2024486,Belgium,Italy,true,false,false,Belgium,98078,Simon,Mignolet,Mignolet,Mignolet,,0,Mignolet,false,Goalkeeper
2024486,Belgium,Italy,true,false,false,Belgium,103333,Toby,Alderweireld,Alderweireld,Alderweireld,0,,Alderweireld,true,Defender
2024486,Belgium,Italy,true,false,false,Belgium,103335,Axel,Witsel,Witsel,Witsel,0,,Witsel,false,Midfield
