matchid,hometeamname,awayteamname,teamid,teamname,ishometeam,isawayteam,statsid,statsname,value,rank,Location
2024442,Austria,North Macedonia,8,Austria,True,False,1,Goals,3.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,2,Ball Possession,60.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,3,Total Attempts,11.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,4,Attempts on target,7.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,5,Attempts off target,2.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,6,Attempts against woodwork,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,11,Attempts Accuracy,64.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,12,Corners,4.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,13,Offsides,1.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,14,Saves,1.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,17,Tackles won,7.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,18,Clearances,7.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,19,Recovered balls,51.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,20,Fouls committed,13.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,21,Yellow cards,1.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,22,Red cards,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,23,Passes completed,484.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,24,Passes accuracy,81.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,27,Distance covered (m),110173.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,28,Distance covered in possession (m),46945.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,29,Top Speed (Km/h),32.4,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,32,Own-goals,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,33,Goals scored,3.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,34,Goals conceded,1.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,35,Own-goals for,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,36,Goals scored by right foot,3.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,37,Goals scored by left foot,0.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,38,Goals scored by head,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,39,Goals scored by backheel,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,40,Goals scored by other part of body,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,41,Goals scored in open play,3.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,42,Goals scored on direct free-kcik,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,43,Goals scored on indirect free-kcik,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,44,Goals scored on penalty,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,45,Goals on corner,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,46,Goals scored in penalty area,3.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,47,Goals scored outside penalty area,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,48,Goals on penalty phase,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,49,Goals in open play from centre,0.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,50,Goals in open play from left,2.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,51,Goals in open play from right,1.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,52,Attempts blocked,2.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,53,Attempts on bar,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,54,Attempts on post,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,55,Woodwork (after deflection),0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,56,Attempts on direct free kick,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,57,Attempts on indirect free kick,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,58,Attempts from corner,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,59,Attempts on target in penalty area,6.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,60,Attempts on target outside penalty area,1.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,61,Attempts off target in penalty area,1.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,62,Attempts off target outside penalty area,1.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,63,Attempts in open play from centre,11.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,64,Attempts in open play from left,0.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,65,Attempts in open play from right,0.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,67,Free kicks on goal,0.0,1,Home
