,minute,phase,injuryminute,teamfromid,teamtoid,playerfromid,playertoid
0,0,1,0,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
1,4,1,0,59205.0,8.0,250039878.0,250003976.0
2,4,1,0,8.0,11741.525265127886,1909713.0,206024112.0
3,5,1,0,59205.0,8.0,250004363.0,101177.0
4,5,1,0,8.0,11741.525265127886,250065408.0,206024112.0
5,8,1,0,8.0,59205.0,250089289.0,250064634.0
6,8,1,0,59205.0,11741.525265127886,250028268.0,206024112.0
7,9,1,0,8.0,11741.525265127886,250089289.0,206024112.0
8,9,1,0,59205.0,11741.525265127886,250014421.0,206024112.0
9,15,1,0,8.0,11741.525265127886,250116789.0,206024112.0
10,15,1,0,59205.0,11741.525265127886,250022910.0,206024112.0
11,16,1,0,59205.0,8.0,250031588.0,250024349.0
12,16,1,0,8.0,11741.525265127886,250020234.0,206024112.0
13,17,1,0,8.0,59205.0,250024349.0,250064634.0
14,17,1,0,59205.0,11741.525265127886,250022910.0,206024112.0
15,18,1,0,8.0,11741.525265127886,250003976.0,206024112.0
16,19,1,0,8.0,59205.0,250024349.0,250064634.0
17,20,1,0,59205.0,11741.525265127886,250004363.0,206024112.0
18,21,1,0,59205.0,8.0,250039878.0,1906540.0
19,21,1,0,8.0,11741.525265127886,1906540.0,206024112.0
20,22,1,0,8.0,11741.525265127886,250116789.0,206024112.0
21,22,1,0,59205.0,11741.525265127886,250014421.0,206024112.0
22,22,1,0,8.0,59205.0,250089289.0,250004363.0
23,23,1,0,59205.0,11741.525265127886,250031588.0,206024112.0
24,24,1,0,8.0,59205.0,250065413.0,52148.0
25,24,1,0,59205.0,11741.525265127886,250028268.0,206024112.0
26,25,1,0,8.0,59205.0,250020234.0,250064634.0
27,26,1,0,59205.0,11741.525265127886,250028268.0,206024112.0
28,26,1,0,59205.0,8.0,250022910.0,250089289.0
29,26,1,0,8.0,11741.525265127886,250056875.0,206024112.0
30,28,1,0,59205.0,11741.525265127886,52148.0,206024112.0
31,32,1,0,8.0,59205.0,250065408.0,52148.0
32,32,1,0,59205.0,11741.525265127886,250028268.0,206024112.0
33,34,1,0,8.0,11741.525265127886,1906540.0,206024112.0
34,35,1,0,8.0,59205.0,250020234.0,250031588.0
35,36,1,0,59205.0,11741.525265127886,250014421.0,206024112.0
36,37,1,0,59205.0,11741.525265127886,250004363.0,206024112.0
37,37,1,0,8.0,11741.525265127886,250089289.0,206024112.0
38,37,1,0,59205.0,11741.525265127886,250014421.0,206024112.0
39,38,1,0,59205.0,8.0,250028268.0,250065413.0
40,39,1,0,8.0,11741.525265127886,1909713.0,206024112.0
41,42,1,0,59205.0,8.0,250039878.0,1909713.0
42,42,1,0,59205.0,11741.525265127886,250039878.0,206024112.0
43,44,1,0,8.0,11741.525265127886,250065408.0,206024112.0
44,45,1,1,8.0,11741.525265127886,1906540.0,206024112.0
45,45,1,2,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
46,46,2,0,8.0,8.0,1909713.0,250073627.0
47,45,2,0,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
48,46,2,0,8.0,59205.0,250065413.0,250064634.0
49,47,2,0,59205.0,11741.525265127886,250064634.0,206024112.0
50,49,2,0,59205.0,11741.525265127886,250064634.0,206024112.0
51,49,2,0,59205.0,11741.525265127886,250043103.0,206024112.0
52,49,2,0,59205.0,8.0,250039878.0,250073627.0
53,49,2,0,8.0,11741.525265127886,250073627.0,206024112.0
54,51,2,0,59205.0,8.0,52148.0,250073627.0
55,51,2,0,8.0,11741.525265127886,250073627.0,206024112.0
56,52,2,0,59205.0,8.0,250028268.0,250065408.0
57,52,2,0,59205.0,11741.525265127886,250028268.0,206024112.0
58,53,2,0,8.0,11741.525265127886,250073627.0,206024112.0
59,53,2,0,59205.0,8.0,250064634.0,250065408.0
60,53,2,0,8.0,11741.525265127886,250020234.0,206024112.0
61,58,2,0,8.0,8.0,250089289.0,250023832.0
62,59,2,0,8.0,8.0,250116789.0,1903428.0
63,60,2,0,59205.0,8.0,250091841.0,1903428.0
64,60,2,0,8.0,11741.525265127886,1903428.0,206024112.0
65,63,2,0,59205.0,11741.525265127886,250043103.0,206024112.0
66,63,2,0,8.0,11741.525265127886,250056875.0,206024112.0
67,63,2,0,59205.0,11741.525265127886,52148.0,206024112.0
68,63,2,0,59205.0,59205.0,250043103.0,250055992.0
69,63,2,0,59205.0,59205.0,250039878.0,250055403.0
70,64,2,0,8.0,11741.525265127886,250023832.0,206024112.0
71,64,2,0,59205.0,11741.525265127886,250014421.0,206024112.0
72,64,2,0,8.0,59205.0,250003976.0,250028268.0
73,65,2,0,59205.0,11741.525265127886,250014421.0,206024112.0
74,66,2,0,8.0,59205.0,250065413.0,250028268.0
75,66,2,0,59205.0,11741.525265127886,250028268.0,206024112.0
76,67,2,0,8.0,11741.525265127886,1906540.0,206024112.0
77,67,2,0,8.0,11741.525265127886,250024349.0,206024112.0
78,69,2,0,8.0,11741.525265127886,250065408.0,206024112.0
79,71,2,0,8.0,11741.525265127886,250023832.0,206024112.0
80,72,2,0,59205.0,11741.525265127886,250014421.0,206024112.0
81,73,2,0,59205.0,11741.525265127886,250028268.0,206024112.0
82,73,2,0,8.0,11741.525265127886,250003976.0,206024112.0
83,74,2,0,59205.0,11741.525265127886,250091841.0,206024112.0
84,74,2,0,8.0,11741.525265127886,250020234.0,206024112.0
85,74,2,0,59205.0,8.0,250028268.0,250003976.0
86,75,2,0,8.0,11741.525265127886,250020234.0,206024112.0
87,78,2,0,8.0,11741.525265127886,250023832.0,206024112.0
88,81,2,0,59205.0,8.0,250022910.0,1903428.0
89,82,2,0,59205.0,59205.0,250064634.0,73471.0
90,82,2,0,8.0,11741.525265127886,250003976.0,206024112.0
91,82,2,0,59205.0,8.0,250004363.0,250023832.0
92,83,2,0,8.0,11741.525265127886,250003976.0,206024112.0
93,84,2,0,8.0,11741.525265127886,250024349.0,206024112.0
94,84,2,0,59205.0,11741.525265127886,250031588.0,206024112.0
95,85,2,0,8.0,11741.525265127886,1906540.0,206024112.0
96,85,2,0,8.0,59205.0,250003976.0,250005231.0
97,85,2,0,8.0,11741.525265127886,250003976.0,206024112.0
98,85,2,0,59205.0,11741.525265127886,250022910.0,206024112.0
99,86,2,0,59205.0,59205.0,250022910.0,250072833.0
100,87,2,0,8.0,59205.0,250020234.0,250072833.0
101,87,2,0,59205.0,11741.525265127886,250028268.0,206024112.0
102,89,2,0,8.0,11741.525265127886,1903428.0,206024112.0
103,90,2,3,8.0,8.0,250065413.0,98843.0
104,90,2,4,59205.0,8.0,250004363.0,250023832.0
105,90,2,4,8.0,8.0,250065408.0,103354.0
106,90,2,4,8.0,11741.525265127886,1906540.0,206024112.0
107,90,2,5,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
108,0,1,0,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
109,2,1,0,66.0,13.0,250090398.0,250012551.0
110,2,1,0,13.0,11741.525265127886,250011668.0,206024112.0
111,3,1,0,13.0,11741.525265127886,250008901.0,206024112.0
112,4,1,0,13.0,11741.525265127886,250010802.0,206024112.0
113,5,1,0,66.0,11741.525265127886,250017925.0,206024112.0
114,10,1,0,66.0,11741.525265127886,250066739.0,206024112.0
115,12,1,0,13.0,11741.525265127886,250008901.0,206024112.0
116,12,1,0,13.0,66.0,103335.0,250066739.0
117,12,1,0,66.0,11741.525265127886,250017925.0,206024112.0
118,12,1,0,13.0,66.0,250012551.0,250067749.0
119,13,1,0,66.0,11741.525265127886,250026037.0,206024112.0
120,13,1,0,66.0,11741.525265127886,250064229.0,206024112.0
121,13,1,0,66.0,11741.525265127886,250017925.0,206024112.0
122,14,1,0,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
123,14,1,0,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
124,14,1,0,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
125,14,1,0,13.0,11741.525265127886,250011668.0,206024112.0
126,16,1,0,13.0,11741.525265127886,250064006.0,206024112.0
127,16,1,0,66.0,11741.525265127886,250006200.0,206024112.0
128,16,1,0,13.0,11741.525265127886,250008901.0,206024112.0
129,17,1,0,13.0,11741.525265127886,250008901.0,206024112.0
130,17,1,0,66.0,11741.525265127886,59142.0,206024112.0
131,20,1,0,66.0,13.0,250006200.0,250064006.0
132,20,1,0,66.0,11741.525265127886,250006200.0,206024112.0
133,20,1,0,13.0,11741.525265127886,103333.0,206024112.0
134,20,1,0,13.0,66.0,250064006.0,250006200.0
135,21,1,0,13.0,11741.525265127886,250064006.0,206024112.0
136,21,1,0,66.0,11741.525265127886,250017925.0,206024112.0
137,22,1,0,13.0,11741.525265127886,250008901.0,206024112.0
138,22,1,0,66.0,11741.525265127886,250078922.0,206024112.0
139,23,1,0,13.0,11741.525265127886,250008901.0,206024112.0
140,26,1,0,13.0,11741.525265127886,250010802.0,206024112.0
141,26,1,0,66.0,11741.525265127886,250078922.0,206024112.0
142,26,1,0,13.0,11741.525265127886,250008901.0,206024112.0
143,26,1,0,66.0,11741.525265127886,250090398.0,206024112.0
144,27,1,0,13.0,11741.525265127886,250011668.0,206024112.0
145,27,1,0,66.0,11741.525265127886,250090398.0,206024112.0
146,27,1,0,13.0,11741.525265127886,103333.0,206024112.0
147,27,1,0,66.0,11741.525265127886,250026037.0,206024112.0
148,29,1,0,66.0,11741.525265127886,250090398.0,206024112.0
149,29,1,0,13.0,11741.525265127886,71982.0,206024112.0
150,30,1,0,66.0,11741.525265127886,250026037.0,206024112.0
151,30,1,0,13.0,66.0,250012551.0,250064229.0
152,31,1,0,66.0,11741.525265127886,250064229.0,206024112.0
153,31,1,0,66.0,11741.525265127886,250066739.0,206024112.0
154,33,1,0,66.0,13.0,250005254.0,250011668.0
155,33,1,0,13.0,11741.525265127886,250011668.0,206024112.0
156,33,1,0,66.0,13.0,59142.0,250010802.0
157,34,1,0,13.0,11741.525265127886,103335.0,206024112.0
158,34,1,0,13.0,11741.525265127886,250008901.0,206024112.0
159,35,1,0,13.0,66.0,250008901.0,250067749.0
160,36,1,0,66.0,11741.525265127886,250017925.0,206024112.0
161,39,1,0,13.0,66.0,103335.0,250006200.0
162,39,1,0,66.0,11741.525265127886,250017925.0,206024112.0
163,41,1,0,66.0,11741.525265127886,250006200.0,206024112.0
164,41,1,0,66.0,11741.525265127886,250090398.0,206024112.0
165,41,1,0,66.0,13.0,250064229.0,250113142.0
166,41,1,0,13.0,11741.525265127886,250012551.0,206024112.0
167,43,1,0,66.0,11741.525265127886,250005254.0,206024112.0
168,43,1,0,13.0,11741.525265127886,103333.0,206024112.0
169,44,1,0,66.0,11741.525265127886,250026037.0,206024112.0
170,45,1,0,66.0,13.0,250064229.0,250113142.0
171,45,1,1,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
172,45,1,2,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
173,45,1,2,13.0,11741.525265127886,250010802.0,206024112.0
174,45,1,3,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
175,45,2,0,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
176,47,2,0,66.0,11741.525265127886,250090398.0,206024112.0
177,47,2,0,13.0,66.0,250029318.0,250020885.0
178,47,2,0,66.0,11741.525265127886,250067749.0,206024112.0
179,48,2,0,66.0,11741.525265127886,250006200.0,206024112.0
180,48,2,0,66.0,11741.525265127886,250006200.0,206024112.0
181,51,2,0,13.0,66.0,250008901.0,250067749.0
182,52,2,0,66.0,11741.525265127886,250078922.0,206024112.0
183,52,2,0,66.0,11741.525265127886,250005254.0,206024112.0
184,52,2,0,66.0,13.0,250066739.0,250064006.0
185,53,2,0,13.0,11741.525265127886,103333.0,206024112.0
186,55,2,0,13.0,11741.525265127886,250008901.0,206024112.0
187,57,2,0,66.0,11741.525265127886,250026037.0,206024112.0
188,58,2,0,66.0,11741.525265127886,250005254.0,206024112.0
189,58,2,0,13.0,11741.525265127886,71982.0,206024112.0
190,59,2,0,66.0,11741.525265127886,250026037.0,206024112.0
191,59,2,0,13.0,11741.525265127886,250011668.0,206024112.0
192,61,2,0,13.0,11741.525265127886,250010802.0,206024112.0
193,61,2,0,66.0,11741.525265127886,250020885.0,206024112.0
194,62,2,0,13.0,11741.525265127886,250008901.0,206024112.0
195,64,2,0,13.0,66.0,250008901.0,250017925.0
196,65,2,0,66.0,11741.525265127886,250067749.0,206024112.0
197,66,2,0,66.0,11741.525265127886,250020885.0,206024112.0
198,67,2,0,13.0,66.0,71982.0,250006200.0
199,68,2,0,66.0,11741.525265127886,250026037.0,206024112.0
200,69,2,0,66.0,11741.525265127886,250026037.0,206024112.0
201,69,2,0,13.0,11741.525265127886,250011668.0,206024112.0
202,69,2,0,66.0,13.0,250064229.0,250113142.0
203,69,2,0,13.0,13.0,250064006.0,250019924.0
204,69,2,0,13.0,13.0,250029318.0,250022315.0
205,70,2,0,13.0,11741.525265127886,103704.0,206024112.0
206,70,2,0,13.0,11741.525265127886,250022315.0,206024112.0
207,70,2,0,66.0,11741.525265127886,250064229.0,206024112.0
208,72,2,0,13.0,66.0,250113142.0,250064229.0
209,73,2,0,13.0,13.0,250022315.0,250023003.0
210,74,2,0,66.0,66.0,250006200.0,250041741.0
211,74,2,0,66.0,66.0,250005254.0,250050378.0
212,75,2,0,66.0,11741.525265127886,250017925.0,206024112.0
213,75,2,0,13.0,11741.525265127886,250010802.0,206024112.0
214,76,2,0,66.0,11741.525265127886,250067749.0,206024112.0
215,79,2,0,66.0,66.0,250026037.0,250058759.0
216,79,2,0,66.0,66.0,250020885.0,250100056.0
217,82,2,0,13.0,66.0,250019924.0,250100056.0
218,82,2,0,66.0,11741.525265127886,250078922.0,206024112.0
219,84,2,0,13.0,11741.525265127886,250113142.0,206024112.0
220,84,2,0,13.0,66.0,250012551.0,250100056.0
221,85,2,0,66.0,11741.525265127886,250041741.0,206024112.0
222,85,2,0,66.0,13.0,250041741.0,103335.0
223,85,2,0,13.0,11741.525265127886,71982.0,206024112.0
224,86,2,0,13.0,66.0,250023003.0,250058759.0
225,87,2,0,66.0,11741.525265127886,250078922.0,206024112.0
226,87,2,0,66.0,13.0,250090398.0,250012551.0
227,87,2,0,13.0,11741.525265127886,250012551.0,206024112.0
228,89,2,0,66.0,13.0,250058759.0,250008901.0
229,90,2,0,66.0,11741.525265127886,250058759.0,206024112.0
230,90,2,1,66.0,66.0,250090398.0,250112488.0
231,90,2,1,13.0,11741.525265127886,250008901.0,206024112.0
232,90,2,1,13.0,66.0,103335.0,250078922.0
233,90,2,3,66.0,11741.525265127886,250078922.0,206024112.0
234,90,2,3,13.0,66.0,103704.0,250066739.0
235,90,2,4,66.0,11741.525265127886,250017925.0,206024112.0
236,90,2,4,66.0,13.0,250064229.0,250113142.0
237,90,2,4,13.0,11741.525265127886,103704.0,206024112.0
238,90,2,5,66.0,13.0,250050378.0,103704.0
239,90,2,5,13.0,11741.525265127886,250011668.0,206024112.0
240,90,2,7,13.0,11741.525265127886,250019924.0,206024112.0
241,90,2,7,13.0,11741.525265127886,71982.0,206024112.0
242,90,2,8,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
243,0,1,0,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
244,6,1,0,110.0,11741.525265127886,250080471.0,206024112.0
245,10,1,0,13.0,11741.525265127886,1902160.0,206024112.0
246,15,1,0,110.0,11741.525265127886,250080471.0,206024112.0
247,15,1,0,13.0,11741.525265127886,103333.0,206024112.0
248,18,1,0,110.0,11741.525265127886,250067295.0,206024112.0
249,19,1,0,13.0,11741.525265127886,103335.0,206024112.0
250,19,1,0,13.0,11741.525265127886,250012551.0,206024112.0
251,19,1,0,110.0,11741.525265127886,250081628.0,206024112.0
252,19,1,0,13.0,110.0,250012551.0,250067295.0
253,19,1,0,110.0,11741.525265127886,95417.0,206024112.0
254,20,1,0,110.0,11741.525265127886,63706.0,206024112.0
255,20,1,0,13.0,11741.525265127886,250011668.0,206024112.0
256,21,1,0,13.0,110.0,250008901.0,250058218.0
257,22,1,0,110.0,11741.525265127886,250058220.0,206024112.0
258,22,1,0,110.0,11741.525265127886,250058218.0,206024112.0
259,24,1,0,13.0,11741.525265127886,71982.0,206024112.0
260,25,1,0,110.0,11741.525265127886,63706.0,206024112.0
261,25,1,0,13.0,11741.525265127886,250011668.0,206024112.0
262,25,1,0,110.0,11741.525265127886,250067295.0,206024112.0
263,27,1,0,110.0,11741.525265127886,250067295.0,206024112.0
264,31,1,0,110.0,13.0,95417.0,1902160.0
265,31,1,0,13.0,11741.525265127886,103704.0,206024112.0
266,32,1,0,110.0,11741.525265127886,63706.0,206024112.0
267,33,1,0,110.0,13.0,250080471.0,103333.0
268,33,1,0,13.0,11741.525265127886,103333.0,206024112.0
269,34,1,0,13.0,110.0,250064006.0,63706.0
270,34,1,0,110.0,11741.525265127886,95417.0,206024112.0
271,36,1,0,13.0,110.0,103704.0,70098.0
272,36,1,0,110.0,11741.525265127886,70098.0,206024112.0
273,37,1,0,110.0,11741.525265127886,250067295.0,206024112.0
274,37,1,0,13.0,11741.525265127886,103704.0,206024112.0
275,37,1,0,13.0,11741.525265127886,250029318.0,206024112.0
276,37,1,0,13.0,11741.525265127886,250008901.0,206024112.0
277,38,1,0,13.0,110.0,103335.0,70098.0
278,38,1,0,110.0,11741.525265127886,250066156.0,206024112.0
279,39,1,0,110.0,11741.525265127886,250081628.0,206024112.0
280,39,1,0,13.0,11741.525265127886,250011668.0,206024112.0
281,40,1,0,110.0,11741.525265127886,250058218.0,206024112.0
282,41,1,0,110.0,11741.525265127886,250059115.0,206024112.0
283,41,1,0,110.0,11741.525265127886,250066156.0,206024112.0
284,41,1,0,110.0,13.0,250058220.0,71982.0
285,41,1,0,13.0,11741.525265127886,250011668.0,206024112.0
286,42,1,0,13.0,11741.525265127886,250011668.0,206024112.0
287,42,1,0,13.0,11741.525265127886,250012551.0,206024112.0
288,45,1,0,110.0,11741.525265127886,250067295.0,206024112.0
289,45,1,3,110.0,11741.525265127886,250067295.0,206024112.0
290,45,1,3,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
291,45,2,0,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
292,47,2,0,110.0,13.0,70098.0,1902160.0
293,48,2,0,13.0,13.0,250008901.0,250019924.0
294,48,2,0,13.0,11741.525265127886,103335.0,206024112.0
295,48,2,0,110.0,13.0,250059115.0,103704.0
296,49,2,0,13.0,11741.525265127886,103335.0,206024112.0
297,49,2,0,13.0,110.0,250064006.0,250058218.0
298,49,2,0,110.0,11741.525265127886,70098.0,206024112.0
299,50,2,0,110.0,13.0,250081628.0,1902160.0
300,51,2,0,110.0,11741.525265127886,250081628.0,206024112.0
301,51,2,0,13.0,11741.525265127886,103335.0,206024112.0
302,52,2,0,110.0,11741.525265127886,70098.0,206024112.0
303,52,2,0,13.0,11741.525265127886,250064006.0,206024112.0
304,54,2,0,110.0,11741.525265127886,63706.0,206024112.0
305,54,2,0,13.0,11741.525265127886,71982.0,206024112.0
306,55,2,0,13.0,110.0,250012551.0,70098.0
307,55,2,0,110.0,110.0,70098.0,250101463.0
308,55,2,0,110.0,110.0,250059115.0,250078886.0
309,56,2,0,110.0,11741.525265127886,95417.0,206024112.0
310,58,2,0,110.0,11741.525265127886,250080471.0,206024112.0
311,58,2,0,110.0,11741.525265127886,63706.0,206024112.0
312,59,2,0,110.0,13.0,250058218.0,1902160.0
313,59,2,0,13.0,11741.525265127886,250064006.0,206024112.0
314,60,2,0,13.0,11741.525265127886,250019924.0,206024112.0
315,60,2,0,110.0,11741.525265127886,250067295.0,206024112.0
316,61,2,0,110.0,11741.525265127886,250101463.0,206024112.0
317,61,2,0,13.0,11741.525265127886,250011668.0,206024112.0
318,62,2,0,110.0,11741.525265127886,250078886.0,206024112.0
319,63,2,0,13.0,11741.525265127886,250010802.0,206024112.0
320,63,2,0,13.0,110.0,250029318.0,63706.0
321,63,2,0,110.0,11741.525265127886,250058218.0,206024112.0
322,68,2,0,13.0,11741.525265127886,1902160.0,206024112.0
323,68,2,0,110.0,11741.525265127886,250058218.0,206024112.0
324,70,2,0,110.0,110.0,250080471.0,250042521.0
325,72,2,0,13.0,110.0,71982.0,250101463.0
326,72,2,0,13.0,11741.525265127886,71982.0,206024112.0
