,Age,Height,Goals,MarketValue,Caps
0,32,187,0,28000000,40
1,38,193,0,4000000,119
2,34,187,0,3000000,0
3,24,191,0,40000000,12
4,28,195,0,30000000,25
5,31,190,3,25000000,69
6,27,189,0,20000000,2
7,27,191,0,18000000,9
8,26,180,0,20000000,21
9,27,180,1,17000000,4
10,29,177,6,50000000,86
11,27,185,0,20000000,15
12,20,188,0,30000000,1
13,29,187,0,17000000,5
14,33,180,18,15000000,77
15,34,183,17,10000000,109
16,32,181,1,8000000,7
17,21,177,1,130000000,18
18,21,184,2,120000000,29
19,24,193,16,70000000,46
20,26,181,0,28000000,4
21,28,183,13,70000000,60
22,34,185,45,8000000,129
23,21,185,0,30000000,1
24,27,179,0,25000000,2
25,31,189,11,15000000,16
26,28,196,0,2500000,7
27,28,184,0,800000,1
28,31,191,0,700000,3
29,27,189,1,10000000,33
30,29,192,3,3000000,24
31,25,188,0,3000000,6
32,32,186,0,1000000,17
33,32,188,2,900000,48
34,30,178,3,30000000,69
35,27,180,1,12000000,43
36,26,171,0,7500000,11
37,25,178,1,1800000,6
38,26,187,0,1800000,0
39,27,191,6,32000000,41
40,22,170,1,18000000,19
41,29,178,17,30000000,57
42,30,178,2,8500000,53
43,32,183,2,2000000,44
44,32,182,0,1000000,15
45,32,180,2,900000,32
46,29,178,5,12000000,40
47,27,178,0,4000000,2
48,32,175,5,1000000,38
49,27,179,6,15000000,25
50,28,185,2,4000000,9
51,21,185,0,4000000,0
52,34,190,0,3000000,53
53,33,188,0,2500000,36
54,33,194,0,500000,1
55,31,186,6,10000000,43
56,26,192,1,4000000,43
57,22,188,0,2500000,3
58,22,189,0,1800000,4
59,31,186,2,450000,68
60,20,180,0,20000000,15
61,31,188,3,1000000,19
62,24,179,0,2000000,16
63,29,178,1,1000000,26
64,33,181,2,900000,36
65,34,183,2,400000,56
66,28,178,2,900000,80
67,23,187,12,75000000,41
68,25,178,3,5000000,25
69,24,167,0,2500000,21
70,22,176,0,1000000,3
71,28,178,4,8000000,24
72,30,173,3,1500000,50
73,22,185,0,1200000,2
74,27,183,12,15000000,48
75,23,174,0,1000000,7
76,29,181,4,2500000,10
77,29,191,3,800000,20
78,26,196,0,40000000,5
79,35,183,0,5000000,88
80,30,190,0,3000000,9
81,28,188,3,45000000,59
82,27,189,2,10000000,52
83,32,186,8,10000000,81
84,22,181,0,5000000,2
85,25,194,0,5000000,3
86,31,182,9,3500000,114
87,31,183,3,3000000,42
88,27,190,3,25000000,54
89,31,186,14,20000000,124
90,21,181,0,6000000,2
91,27,183,0,9000000,19
92,32,180,8,6500000,66
93,28,185,0,4000000,2
94,22,179,0,8000000,5
95,32,169,31,2500000,122
96,24,185,2,20000000,21
97,32,182,11,2000000,53
98,23,184,0,14000000,10
99,25,179,7,7500000,42
100,32,170,4,1000000,39
101,27,187,13,12000000,63
102,23,185,7,12000000,14
103,27,185,0,3000000,1
104,28,183,0,35000000,5
105,26,190,0,30000000,39
106,29,191,0,25000000,1
107,27,187,1,40000000,10
108,24,184,0,25000000,2
109,30,191,1,20000000,28
110,34,180,1,3000000,24
111,28,171,0,45000000,3
112,25,173,0,25000000,3
113,32,173,0,12000000,43
114,38,170,5,2500000,52
115,27,191,3,120000000,49
116,25,181,0,50000000,6
117,21,174,0,80000000,19
118,27,189,1,50000000,20
119,28,189,1,30000000,22
120,21,174,0,30000000,1
121,26,179,8,50000000,33
122,22,174,1,40000000,3
123,21,181,2,60000000,13
124,24,184,19,30000000,41
125,30,178,1,7000000,1
126,16,178,2,90000000,6
127,27,181,10,45000000,29
128,31,189,34,16000000,72
129,34,191,5,5000000,10
130,29,188,0,11000000,53
131,24,196,0,4500000,1
132,29,195,0,2500000,6
133,24,187,0,28000000,17
134,24,190,0,15000000,13
135,26,193,0,7000000,7
136,26,193,0,3000000,9
137,35,184,4,1200000,105
138,22,185,2,75000000,29
139,26,187,1,7500000,20
140,28,173,0,7500000,37
141,31,181,7,16000000,95
142,30,177,5,30000000,100
143,21,185,0,15000000,6
144,29,188,10,13000000,62
145,38,172,24,6000000,174
146,26,178,8,20000000,30
147,21,172,0,20000000,3
148,26,179,8,10000000,55
149,25,175,2,12000000,20
150,29,186,1,2500000,26
151,35,186,33,2000000,130
152,23,177,1,4000000,5
153,32,177,28,5000000,92
154,32,190,2,5000000,20
155,29,193,11,5000000,37
156,29,193,0,3000000,28
157,27,189,0,1300000,2
158,35,194,0,500000,80
159,31,190,1,10000000,57
160,24,191,0,4500000,19
161,27,187,2,3000000,38
162,25,186,0,1500000,19
163,30,184,1,1000000,25
164,20,180,0,2000000,13
165,30,177,0,400000,13
166,30,182,2,2500000,83
167,32,172,0,2000000,13
168,22,175,2,18000000,20
169,28,185,1,4000000,35
170,34,190,0,400000,28
171,34,172,1,200000,50
172,28,173,3,2500000,27
173,20,186,0,1000000,1
174,23,180,3,13000000,10
175,25,179,4,4500000,23
176,25,185,0,1800000,4
177,29,175,4,1000000,13
