,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Diff.,Pts,exp. Goals,exp. Goals Allowed,exp. Goals Diff.,xGD/90
0,7.0,5.0,2.0,0.0,13.0,4.0,9.0,17.0,13.1,6.0,7.2,1.02
1,7.0,5.0,2.0,0.0,11.0,2.0,9.0,17.0,11.0,5.4,5.7,0.81
2,,,,,,,,,,,,
3,6.0,2.0,4.0,0.0,13.0,6.0,7.0,10.0,16.7,7.4,9.3,1.54
4,6.0,3.0,0.0,3.0,12.0,7.0,5.0,9.0,9.9,7.1,2.8,0.47
5,,,,,,,,,,,,
6,5.0,4.0,0.0,1.0,9.0,3.0,6.0,12.0,5.9,5.4,0.5,0.11
7,5.0,2.0,1.0,2.0,6.0,4.0,2.0,7.0,6.2,6.6,-0.5,-0.09
8,5.0,1.0,3.0,1.0,8.0,9.0,-1.0,6.0,7.1,10.6,-3.5,-0.69
9,5.0,2.0,0.0,3.0,6.0,10.0,-4.0,6.0,6.2,7.5,-1.3,-0.26
10,,,,,,,,,,,,
11,4.0,3.0,0.0,1.0,8.0,4.0,4.0,9.0,8.6,4.0,4.6,1.16
12,4.0,2.0,1.0,1.0,5.0,4.0,1.0,7.0,5.2,6.5,-1.4,-0.35
13,4.0,1.0,3.0,0.0,7.0,6.0,1.0,6.0,7.5,5.2,2.3,0.57
14,4.0,2.0,0.0,2.0,5.0,5.0,0.0,6.0,5.1,5.8,-0.8,-0.19
15,4.0,1.0,1.0,2.0,7.0,7.0,0.0,4.0,7.9,4.9,2.9,0.74
16,4.0,1.0,1.0,2.0,7.0,8.0,-1.0,4.0,5.5,8.0,-2.4,-0.61
17,4.0,1.0,1.0,2.0,6.0,7.0,-1.0,4.0,7.1,4.5,2.6,0.65
18,4.0,1.0,1.0,2.0,3.0,6.0,-3.0,4.0,4.9,8.0,-3.1,-0.77
19,,,,,,,,,,,,
20,3.0,1.0,0.0,2.0,1.0,3.0,-2.0,3.0,1.5,4.4,-2.9,-0.97
21,3.0,1.0,0.0,2.0,2.0,7.0,-5.0,3.0,2.3,4.2,-1.9,-0.63
22,3.0,1.0,0.0,2.0,2.0,7.0,-5.0,3.0,1.0,6.6,-5.6,-1.86
23,3.0,0.0,2.0,1.0,3.0,6.0,-3.0,2.0,1.5,6.7,-5.3,-1.76
24,3.0,0.0,1.0,2.0,4.0,6.0,-2.0,1.0,4.6,4.4,0.2,0.07
25,3.0,0.0,1.0,2.0,1.0,5.0,-4.0,1.0,3.9,3.6,0.3,0.11
26,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,3.0,8.5,-5.5,-1.84
27,3.0,0.0,0.0,3.0,1.0,8.0,-7.0,0.0,3.0,7.4,-4.4,-1.47
