Date,HomeTeam,AwayTeam,FTHG,FTAG,GoalDifference,FTR,Tournament,CityVenue,CountryVenue,VenueNeutrality
2024-07-01,Portugal,Slovenia,0.0,0.0,0.0,1,UEFA Euro,Frankfurt,Germany,True
2024-07-01,France,Belgium,1.0,0.0,1.0,2,UEFA Euro,Düsseldorf,Germany,True
2024-06-30,England,Slovakia,2.0,1.0,1.0,2,UEFA Euro,Gelsenkirchen,Germany,True
2024-06-30,Spain,Georgia,4.0,1.0,3.0,2,UEFA Euro,Cologne,Germany,True
2024-06-29,Germany,Denmark,2.0,0.0,2.0,2,UEFA Euro,Dortmund,Germany,False
2024-06-29,Switzerland,Italy,2.0,0.0,2.0,2,UEFA Euro,Berlin,Germany,True
2024-06-26,Czech Republic,Turkey,1.0,2.0,-1.0,0,UEFA Euro,Hamburg,Germany,True
2024-06-26,Georgia,Portugal,2.0,0.0,2.0,2,UEFA Euro,Gelsenkirchen,Germany,True
2024-06-26,Ukraine,Belgium,0.0,0.0,0.0,1,UEFA Euro,Stuttgart,Germany,True
2024-06-26,Slovakia,Romania,1.0,1.0,0.0,1,UEFA Euro,Frankfurt,Germany,True
2024-06-25,France,Poland,1.0,1.0,0.0,1,UEFA Euro,Dortmund,Germany,True
2024-06-25,Denmark,Serbia,0.0,0.0,0.0,1,UEFA Euro,Munich,Germany,True
2024-06-25,Netherlands,Austria,2.0,3.0,-1.0,0,UEFA Euro,Berlin,Germany,True
2024-06-25,England,Slovenia,0.0,0.0,0.0,1,UEFA Euro,Cologne,Germany,True
2024-06-24,Croatia,Italy,1.0,1.0,0.0,1,UEFA Euro,Leipzig,Germany,True
2024-06-24,Albania,Spain,0.0,1.0,-1.0,0,UEFA Euro,Düsseldorf,Germany,True
2024-06-23,Germany,Switzerland,1.0,1.0,0.0,1,UEFA Euro,Frankfurt,Germany,False
2024-06-23,Scotland,Hungary,0.0,1.0,-1.0,0,UEFA Euro,Stuttgart,Germany,True
