matchid,hometeamname,awayteamname,ishometeam,isawayteam,isstaff,country,officialname,officialsurname,jerseyname,shortname,goalscored,cleansheet,matchplayed,suspendedifbooked,role
2024442,Austria,North Macedonia,True,False,False,Austria,Julian,Baumgartlinger,Baumgartlinger,Baumgartlinger,0,0,Baumgartlinger,False,Midfield
2024442,Austria,North Macedonia,True,False,False,Austria,Stefan,Ilsanker,Ilsanker,Ilsanker,0,0,Ilsanker,False,Midfield
2024442,Austria,North Macedonia,True,False,False,Austria,Marko,Arnautovic,Arnautovic,Arnautovic,0,0,Arnautovic,False,Forward
2024442,Austria,North Macedonia,True,False,False,Austria,David,Alaba,Alaba,Alaba,0,0,Alaba,False,Defender
2024442,Austria,North Macedonia,True,False,False,Austria,Aleksandar,Dragovic,Dragovic,Dragovic,0,0,Dragovic,False,Defender
2024442,Austria,North Macedonia,True,False,False,Austria,Marco,Friedl,Friedl,Friedl,0,0,Friedl,False,Defender
2024442,Austria,North Macedonia,True,False,False,Austria,Stefan,Lainer,Lainer,Lainer,0,0,Lainer,False,Defender
2024442,Austria,North Macedonia,True,False,False,Austria,Christopher,Trimmel,Trimmel,Trimmel,0,0,Trimmel,False,Midfield
2024442,Austria,North Macedonia,True,False,False,Austria,Martin,Hinteregger,Hinteregger,Hinteregger,0,0,Hinteregger,False,Defender
2024442,Austria,North Macedonia,True,False,False,Austria,Pavao,Pervan,Pervan,Pervan,0,0,Pervan,False,Goalkeeper
2024442,Austria,North Macedonia,True,False,False,Austria,Michael,Gregoritsch,Gregoritsch,Gregoritsch,0,0,Gregoritsch,False,Forward
2024442,Austria,North Macedonia,True,False,False,Austria,Marcel,Sabitzer,Sabitzer,Sabitzer,0,0,Sabitzer,False,Midfield
2024442,Austria,North Macedonia,True,False,False,Austria,Louis,Schaub,Schaub,Schaub,0,0,Schaub,False,Midfield
2024442,Austria,North Macedonia,True,False,False,Austria,Florian,Grillitsch,Grillitsch,Grillitsch,0,0,Grillitsch,False,Midfield
2024442,Austria,North Macedonia,True,False,False,Austria,Alessandro,Schöpf,Schöpf,Schöpf,0,0,Schöpf,False,Midfield
2024442,Austria,North Macedonia,True,False,False,Austria,Valentino,Lazaro,Lazaro,Lazaro,0,0,Lazaro,False,Midfield
2024442,Austria,North Macedonia,True,False,False,Austria,Alexander,Schlager,Schlager,A. Schlager,0,0,A. Schlager,False,Goalkeeper
2024442,Austria,North Macedonia,True,False,False,Austria,Daniel,Bachmann,Bachmann,Bachmann,0,0,Bachmann,False,Goalkeeper
2024442,Austria,North Macedonia,True,False,False,Austria,Xaver,Schlager,Xaver,X. Schlager,0,0,X. Schlager,False,Midfield
2024442,Austria,North Macedonia,True,False,False,Austria,Konrad,Laimer,Laimer,Laimer,0,0,Laimer,False,Midfield
2024442,Austria,North Macedonia,True,False,False,Austria,Stefan,Posch,Posch,Posch,0,0,Posch,False,Defender
2024442,Austria,North Macedonia,True,False,False,Austria,Philipp,Lienhart,Lienhart,Lienhart,0,0,Lienhart,False,Defender
2024442,Austria,North Macedonia,True,False,False,Austria,Karim,Onisiwo,Onisiwo,Onisiwo,0,0,Onisiwo,False,Midfield
2024442,Austria,North Macedonia,True,False,False,Austria,Christoph,Baumgartner,Baumgartner,Baumgartner,0,0,Baumgartner,False,Midfield
2024442,Austria,North Macedonia,True,False,False,Austria,Sasa,Kalajdzic,Kalajdzic,Kalajdzic,0,0,Kalajdzic,False,Forward
2024442,Austria,North Macedonia,True,False,True,Austria,Thomas,Kristl,Kristl,Kristl,0,0,Thomas,False,ACO
2024442,Austria,North Macedonia,True,False,True,Austria,Mario,Margreiter,Margreiter,Margreiter,0,0,Mario,False,ADMIN
2024442,Austria,North Macedonia,True,False,True,Austria,Franco,Foda,Foda,Foda,0,0,Franco,False,CO
2024442,Austria,North Macedonia,True,False,True,Austria,Michael,Fiedler,Fiedler,Fiedler,0,0,Michael,False,DOC
