Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,CityVenue,CountryVenue,VenueNeutrality,HomeTeamLabel,AwayTeamLabel
2024-06-19,Croatia,Albania,2.0,2.0,1,36,6,1,4,0
2024-06-19,Germany,Hungary,2.0,0.0,2,77,6,0,11,14
2024-06-19,Scotland,Switzerland,1.0,1.0,1,20,6,1,25,33
2024-06-18,Portugal,Czech Republic,2.0,1.0,2,43,6,1,21,5
2024-06-18,Turkey,Georgia,3.0,1.0,2,23,6,1,32,11
2024-06-17,Belgium,Slovakia,0.0,1.0,0,28,6,1,2,29
2024-06-17,Romania,Ukraine,3.0,0.0,2,57,6,1,23,35
2024-06-17,Austria,France,0.0,1.0,0,24,6,1,1,10
2024-06-16,Slovenia,Denmark,1.0,1.0,1,77,6,1,28,7
2024-06-16,Poland,Netherlands,1.0,2.0,0,36,6,1,20,18
2024-06-16,Serbia,England,0.0,1.0,0,31,6,1,26,8
2024-06-15,Spain,Croatia,3.0,0.0,2,8,6,1,29,4
2024-06-15,Hungary,Switzerland,1.0,3.0,0,20,6,1,13,33
2024-06-15,Italy,Albania,2.0,1.0,2,23,6,1,15,0
2024-06-14,Germany,Scotland,5.0,1.0,2,57,6,0,11,27
2021-07-11,England,Italy,1.0,1.0,1,49,4,0,8,16
2021-07-07,England,Denmark,2.0,1.0,2,49,4,0,8,7
2021-07-06,Italy,Spain,1.0,1.0,1,49,4,1,15,31
2021-07-03,Ukraine,England,0.0,4.0,0,67,8,1,33,8
2021-07-03,Czech Republic,Denmark,1.0,2.0,0,4,1,1,5,7
2021-07-02,Switzerland,Spain,1.0,1.0,1,69,13,1,31,31
2021-07-02,Belgium,Italy,1.0,2.0,0,57,6,1,2,16
2021-06-29,Sweden,Ukraine,1.0,2.0,0,33,14,1,30,35
2021-06-29,England,Germany,2.0,0.0,2,49,4,0,8,12
2021-06-28,France,Switzerland,3.0,3.0,1,15,12,1,10,33
2021-06-28,Croatia,Spain,3.0,5.0,0,21,3,1,4,31
2021-06-27,Belgium,Portugal,1.0,0.0,2,73,15,1,2,23
2021-06-27,Netherlands,Czech Republic,0.0,2.0,0,16,7,1,17,5
2021-06-26,Wales,Denmark,0.0,4.0,0,0,9,1,34,7
2021-06-26,Italy,Austria,2.0,1.0,2,49,4,1,15,1
2021-06-23,Germany,Hungary,2.0,2.0,1,57,6,0,11,14
2021-06-23,Sweden,Poland,3.0,2.0,2,69,13,1,30,22
2021-06-23,Spain,Slovakia,5.0,0.0,2,73,15,0,29,29
2021-06-23,Portugal,France,2.0,2.0,1,16,7,1,21,10
