match_id,team,formation,opposing_team_formation,shot,pass,under_pressure,score,counterpress,formation_play_duration,formation_play_duration_ratio,shot_mean,pass_mean,under_pressure_mean,counterpress_mean,home_or_away,goals
3813279,Chennaiyin,352,4231,20,522,346,2,60,0 days 01:38:09.084000,1.0,20.0,522.0,346.0,60.0,1,3
3813279,Odisha,4231,352,9,369,279,1,38,0 days 01:38:09.084000,1.0,9.0,369.0,279.0,38.0,0,3
3813280,Chennaiyin,4141,4411,24,489,313,0,42,0 days 01:39:14.984000,1.0,24.0,489.0,313.0,42.0,1,0
3813280,East Bengal,4411,4141,11,352,215,0,33,0 days 01:39:14.984000,1.0,11.0,352.0,215.0,33.0,0,0
3813281,ATK Mohun Bagan,442,352,9,381,297,1,52,0 days 01:38:59.099000,1.0,9.0,381.0,297.0,52.0,1,2
3813281,Chennaiyin,352,442,14,477,236,1,69,0 days 01:38:59.099000,1.0,14.0,477.0,236.0,69.0,0,2
3813282,Kerala Blasters,442,4231,14,313,297,3,59,0 days 01:38:47.194000,1.0,14.0,313.0,297.0,59.0,0,3
3813282,Mumbai City,4231,442,13,478,276,0,73,0 days 01:38:47.194000,1.0,13.0,478.0,276.0,73.0,1,3
3813283,Bengaluru,352,352,8,90,69,2,10,0 days 00:12:27.035000,7.917505873218793,63.34004698575034,712.5755285896913,546.3079052520967,79.17505873218792,0,6
3813283,Bengaluru,433,352,5,299,210,1,53,0 days 01:02:03.267000,1.5885656333537188,7.942828166768594,474.98112437276194,333.59878300428096,84.1939785677471,0,6
3813283,Bengaluru,433,442,1,33,28,1,5,0 days 01:02:03.267000,1.5885656333537188,1.5885656333537188,52.42266590067272,44.47983773390413,7.942828166768594,0,6
3813283,Bengaluru,442,433,0,3,6,0,0,0 days 00:24:04.352000,4.095022542981212,0.0,12.285067628943636,24.570135257887273,0.0,0,6
3813283,Chennaiyin,352,352,1,69,68,0,12,0 days 01:28:34.569000,1.1129132014279992,1.1129132014279992,76.79101089853195,75.67809769710395,13.35495841713599,1,6
3813283,Chennaiyin,352,433,8,268,238,2,42,0 days 01:28:34.569000,1.1129132014279992,8.903305611423994,298.2607379827038,264.8733419398638,46.742354459975964,1,6
3813283,Chennaiyin,433,442,0,8,4,0,0,0 days 00:03:41.823000,26.663844596818183,0.0,213.31075677454547,106.65537838727273,0.0,1,6
3813283,Chennaiyin,442,433,1,73,40,0,7,0 days 00:06:18.262000,15.636394879739441,15.636394879739441,1141.456826220979,625.4557951895777,109.45476415817609,1,6
